Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2022,Aluminium,Electricity Networks,4.375463848,1.301711739,5.90E-05,1.75E-05,4.55E-13,0.099553345,1.240845458,0.517901309,0.000211819,6.45E-08,1.00E-06,1.91E-06,6.05E-07,4.87E-10,7.61E-09,0.082497535,0.098772567,1.490163302,0.161757867,6.27E-07,5.31E-07,0.00651689,1.13E-10,1.36E-05,0.170054734,1.74E-08,0.784303686,0.022892274,0.019396621,0.002923597,1.70E-05,3.71E-07,0.000420564,9.41E-05,10.3754054
NZE,2030,Aluminium,Electricity Networks,2.863005682,0.840702128,3.86E-05,1.13E-05,9.72E-13,0.082749067,1.014767429,0.314003542,0.000173754,5.51E-08,9.10E-07,1.67E-06,6.26E-07,4.93E-10,8.10E-09,0.078381894,0.115660002,0.952042995,0.103343832,5.90E-07,5.15E-07,0.004675073,8.53E-11,9.09E-06,0.122414084,1.25E-08,0.61565527,0.021527827,0.018782199,0.002602026,1.31E-05,3.28E-07,0.000249392,6.26E-05,7.150750494
NZE,2035,Aluminium,Electricity Networks,2.407516915,0.702342934,3.24E-05,9.47E-06,1.07E-12,0.077730132,0.956264384,0.257317243,0.000168511,5.26E-08,8.77E-07,1.61E-06,6.34E-07,4.62E-10,7.72E-09,0.086001141,0.121221051,0.790203609,0.085775925,5.78E-07,5.18E-07,0.004182052,7.55E-11,7.91E-06,0.10903012,1.11E-08,0.568457835,0.021110431,0.018916633,0.00226109,1.17E-05,3.12E-07,0.000204283,5.33E-05,6.208717124
NZE,2040,Aluminium,Electricity Networks,2.114165153,0.612742152,2.85E-05,8.26E-06,1.06E-12,0.074282639,0.904372571,0.210926608,0.000163251,5.06E-08,8.44E-07,1.56E-06,6.40E-07,4.27E-10,7.28E-09,0.093804648,0.119522458,0.687280712,0.074603596,5.66E-07,5.18E-07,0.003843883,7.81E-11,7.15E-06,0.100043324,1.02E-08,0.533906823,0.020680548,0.018899672,0.00207435,1.05E-05,2.97E-07,0.00017412,4.73E-05,5.571498173
NZE,2045,Aluminium,Electricity Networks,1.836555223,0.528688638,2.48E-05,7.13E-06,9.34E-13,0.070216858,0.84786243,0.168543122,0.000151876,4.82E-08,8.05E-07,1.49E-06,6.37E-07,3.99E-10,6.96E-09,0.093142682,0.114773474,0.591323946,0.064187459,5.49E-07,5.11E-07,0.003486616,7.54E-11,6.41E-06,0.090774528,9.24E-09,0.495858752,0.020045661,0.018663479,0.001931421,9.76E-06,2.84E-07,0.000146687,4.16E-05,4.946363715
NZE,2050,Aluminium,Electricity Networks,1.606726839,0.458738222,2.17E-05,6.18E-06,8.36E-13,0.066989589,0.800238157,0.131666844,0.000140716,4.59E-08,7.75E-07,1.43E-06,6.28E-07,3.80E-10,6.72E-09,0.088188272,0.111596201,0.51134769,0.055505964,5.34E-07,5.03E-07,0.003181611,7.21E-11,5.78E-06,0.083182509,8.46E-09,0.464909832,0.019504324,0.018370409,0.001982499,9.03E-06,2.74E-07,0.000122654,3.68E-05,4.422402439
NZE,2022,Arsenic,Solar PV,2.142760788,0.648143773,2.89E-05,8.74E-06,2.33E-12,0.091521845,1.328018093,0.219171189,0.000926776,1.04E-07,1.28E-05,5.32E-06,4.01E-06,1.49E-09,2.07E-08,0.134348918,0.190608417,0.772419203,0.083845748,7.26E-07,1.35E-06,0.008195402,5.17E-10,6.56E-06,0.171865371,1.75E-08,0.511046783,0.026484648,0.049222396,0.001816177,4.57E-05,3.23E-06,0.000737338,6.97E-05,6.381180707
NZE,2030,Arsenic,Solar PV,1.089150842,0.330798187,1.47E-05,4.46E-06,4.72E-12,0.071500146,1.197745184,0.128881556,0.0009293,9.78E-08,1.28E-05,5.15E-06,4.01E-06,1.19E-09,1.67E-08,0.146641842,0.206456027,0.390412011,0.042377964,6.95E-07,1.36E-06,0.006967668,4.83E-10,3.69E-06,0.135740855,1.38E-08,0.386340566,0.025383078,0.049793024,0.001701924,4.02E-05,3.20E-06,0.000593479,4.82E-05,4.211455958
NZE,2035,Arsenic,Solar PV,0.816982059,0.249263465,1.10E-05,3.36E-06,4.96E-12,0.066735346,1.179817207,0.111295704,0.000947644,9.72E-08,1.28E-05,5.15E-06,4.03E-06,9.44E-10,1.33E-08,0.182581163,0.206158136,0.291634778,0.03165586,6.82E-07,1.39E-06,0.006749534,4.74E-10,3.01E-06,0.127134574,1.30E-08,0.359691203,0.024894884,0.050837421,0.00147264,3.76E-05,3.19E-06,0.000571927,4.27E-05,3.708463218
NZE,2040,Arsenic,Solar PV,0.731066671,0.223432622,9.85E-06,3.01E-06,4.95E-12,0.065336026,1.185037242,0.107746862,0.000969703,9.78E-08,1.28E-05,5.18E-06,4.05E-06,7.58E-10,1.07E-08,0.227726952,0.197331772,0.260485638,0.028275175,6.77E-07,1.43E-06,0.006765134,5.03E-10,3.00E-06,0.125063622,1.28E-08,0.354860356,0.024723389,0.052105429,0.001341919,3.61E-05,3.19E-06,0.000574888,4.12E-05,3.592881637
NZE,2045,Arsenic,Solar PV,0.668840656,0.204720217,9.01E-06,2.76E-06,4.46E-12,0.064757029,1.19118805,0.102505949,0.000980507,9.77E-08,1.28E-05,5.19E-06,4.05E-06,6.24E-10,8.82E-09,0.253734502,0.190166983,0.237897667,0.025823664,6.72E-07,1.46E-06,0.006793983,5.09E-10,3.04E-06,0.12418015,1.27E-08,0.352503789,0.024543856,0.053189559,0.001285679,3.53E-05,3.18E-06,0.000580349,4.02E-05,3.503730081
NZE,2050,Arsenic,Solar PV,0.63799999,0.195449045,8.60E-06,2.63E-06,4.03E-12,0.06447047,1.198083773,0.099206383,0.000983872,9.73E-08,1.28E-05,5.18E-06,4.05E-06,5.43E-10,7.68E-09,0.258557908,0.186586077,0.226652671,0.024603207,6.65E-07,1.47E-06,0.006807779,5.09E-10,3.06E-06,0.123774375,1.27E-08,0.350731904,0.02426061,0.053826554,0.001244852,3.49E-05,3.19E-06,0.000585861,3.96E-05,3.453862337
NZE,2022,Boron,Wind,1.173456706,0.354298452,1.58E-05,4.77E-06,5.47E-13,0.098239232,0.650228832,0.093589641,0.000358196,4.86E-08,5.69E-07,1.73E-06,1.07E-06,2.70E-10,4.14E-09,0.068877149,0.101120026,0.424263632,0.046053854,4.79E-07,8.94E-07,0.004340084,8.76E-11,4.99E-06,0.118809209,1.21E-08,0.579808006,0.017485103,0.032625787,0.000561398,1.46E-05,1.30E-06,0.000438563,3.03E-05,3.764569822
NZE,2030,Boron,Wind,0.802685571,0.24148618,1.08E-05,3.25E-06,1.11E-12,0.091344657,0.603385779,0.053545851,0.000358557,4.67E-08,5.58E-07,1.68E-06,1.08E-06,2.67E-10,4.07E-09,0.075326236,0.107007353,0.29000231,0.031479473,4.75E-07,9.00E-07,0.003923996,8.04E-11,3.84E-06,0.105890026,1.07E-08,0.534965817,0.017329767,0.032862038,0.000545691,1.32E-05,1.29E-06,0.000396225,2.26E-05,2.992550072
