Metal,Technology,Market,Reference Product,Location,Scenario,2023,2030,2035,2040,2045,2050
Niobium,Low emissions power generation,"market for ferroniobium, 66% Nb","ferroniobium, 66% Nb",GLO,SPS,362905,586719,636004,770993,699266,756834
PGMs,Hydrogen technologies,market for platinum,platinum,GLO,SPS,977.366,6688.03,9780.1,13460.7,15075.5,15450.4
Praseodymium,Wind,market for praseodymium oxide,praseodymium oxide,GLO,SPS,1230000,2300000,1970000,1620000,1800000,2480000
Praseodymium,Electric vehicles,market for praseodymium oxide,praseodymium oxide,GLO,SPS,770000,2690000,3780000,4310000,4560000,4760000
Selenium,Solar PV,market for selenium,selenium,GLO,SPS,132335,149298,141600,123435,103013,89666
Silicon,Solar PV,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,1109910000,1183530000,1152650000,1078310000,1081880000,1137120000
Silicon,Electric vehicles,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,15953000,113160000,301921000,443776000,616423000,769388000
Silicon,Grid battery storage,"market for silicon, metallurgical grade","silicon, metallurgical grade",GLO,SPS,238354,3234120,5793330,10277200,14606100,17653600
Silver,Solar PV,market for silver,silver,GLO,SPS,6424200,7352690,6251780,4892390,3784070,2688880
Silver,Low emissions power generation,market for silver,silver,GLO,SPS,47440,52080,62580,69550,74590,82410
Tantalum,Low emissions power generation,"market for tantalum powder, capacitor-grade","tantalum powder, capacitor-grade",GLO,SPS,58660.7,174866,131685,158277,126020,109266
Tellurium,Solar PV,"market for tellurium, semiconductor-grade","tellurium, semiconductor-grade",GLO,SPS,696188,659550,653364,615863,584241,560414
Terbium,Wind,market for terbium oxide,terbium oxide,GLO,SPS,280000,510000,440000,370000,430000,590000
Terbium,Electric vehicles,market for terbium oxide,terbium oxide,GLO,SPS,110000,370000,520000,590000,630000,660000
Tin,Solar PV,market for tin,tin,GLO,SPS,2070000,2960000,3050000,3020000,3160000,3470000
Tin,Low emissions power generation,market for tin,tin,GLO,SPS,80000,120000,80000,60000,100000,70000
Titanium,Low emissions power generation,market for titanium,titanium,GLO,SPS,5208690,10939400,6421730,7679760,7079160,7236270
Tungsten,Low emissions power generation,market for tungsten carbide powder,tungsten carbide powder,GLO,SPS,82333.6,133813,84581.9,65545.8,106197,77831.6
Vanadium,Grid battery storage,vanadium pentoxide production,vanadium pentoxide,ZA,SPS,14047.2,21976000,159932000,323662000,388146000,469125000
Yttrium,Low emissions power generation,market for yttrium oxide,yttrium oxide,GLO,SPS,10000,10000,10000,10000,10000,10000
Yttrium,Hydrogen technologies,market for yttrium oxide,yttrium oxide,GLO,SPS,0,0,0,0,0,0
Zinc,Solar PV,market for zinc,zinc,GLO,SPS,10452300,14926400,15378100,15232600,15950300,17486200
Zinc,Wind,market for zinc,zinc,GLO,SPS,704627000,970203000,864492000,761062000,848365000,1062660000
Zinc,Low emissions power generation,market for zinc,zinc,GLO,SPS,15886700,18990600,15812900,17798400,22690700,24063800
Zirconium,Low emissions power generation,market for zirconium oxide,zirconium oxide,GLO,SPS,500000,820000,520000,400000,650000,470000
Zirconium,Hydrogen technologies,market for zirconium oxide,zirconium oxide,GLO,SPS,130000,640000,710000,560000,540000,730000
