Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2022,Aluminium,Electricity Networks,117360196848.04475,125740524296.03365,1191770128497.1592,395753158.8923459,34824642016252.883,748118.483567511,1023.3861156305758,10294.034008921943,400204594737.4111,1382907933.5873573,6799043.994048282,8226673.925690746,640743598.5142623,927.4821856275217,109918506.19987267,210609520.6902421,658004478.3175817,14118634787.639797
NZE,2030,Aluminium,Electricity Networks,123955879407.61472,131699332448.25696,1250883277057.9502,544429443.0206124,42497414436726.586,992939.210690314,1499.6580030653881,15194.823027213972,688968748079.2489,2125931540.6624722,12881781.133042093,9548903.786671134,934751188.8917971,1137.830775037449,118756545.8054149,244952570.52034178,826594153.518523,18575787318.210125
NZE,2035,Aluminium,Electricity Networks,132925466138.86716,140669163757.5457,1312406815226.6267,657076215.1533973,49521377171555.93,1229476.299366122,1843.63636614621,18937.69713919727,838292003871.6997,2978119731.959513,17237535.903836496,10905835.19926147,1161844520.3086329,1285.366300318776,132051404.53148866,278639499.9038503,971098191.8898057,21803452560.77101
NZE,2040,Aluminium,Electricity Networks,134912499612.81265,142070889293.78156,1334989412524.3677,733231053.4096594,52628768367158.24,1378231.1124908489,2054.430767458458,21498.30287756076,915312822712.2825,3758702868.3456907,19666286.08775583,11598861.43582526,1313372968.8735366,1538.6811391083922,138055149.9309461,295640260.8215187,1053717458.9104478,23219717573.904877
NZE,2045,Aluminium,Electricity Networks,111496670582.24211,116804057005.35245,1110500918718.2358,659865554.5888976,45656264395172.6,1221254.5651296969,1866.2630163636568,19854.10390223174,833419990241.6356,3554778555.6068006,17987240.497782536,10020732.305006472,1219430730.1632962,1415.5111476170957,117835319.98443332,255326374.9567694,930156586.9366999,20938759372.940033
NZE,2050,Aluminium,Electricity Networks,80402321621.19423,83699368445.49026,809023667284.1335,518569678.41574764,34532723867830.047,934035.6632584902,1481.535784202068,15834.448851346015,664358041905.667,2778290291.326372,14436948.413480368,7548234.897657468,979489427.2079263,1116.7787332079479,87712878.05166115,192949827.71071464,718045140.6437794,16261519871.69182
NZE,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2030,Arsenic,Solar PV,1469711.7122880826,1577737.2407589762,26764725.51593712,14911.800572353575,1312413564.0347269,163.76407248902228,0.6194552685370833,1.8710543205804284,43843835.468112096,122649.78885228894,709.0807437822219,438.86193471408535,306265.9484648406,0.19882644206882633,1487.337913431816,8379.589233581479,15159.644112610293,2248089.5447592526
NZE,2035,Arsenic,Solar PV,6467834.186672893,6967218.951692116,121493260.05588472,82576.54926510071,7476721987.35838,977.5517632417095,3.6238885497468014,10.966179735926076,203613279.0728665,893916.2817030186,4144.771407565048,2488.54940288181,1795291.1452197225,1.139993333345861,7110.0671638124695,45996.34405968683,82578.07035014834,12794989.521305256
NZE,2040,Arsenic,Solar PV,27460232.700754892,29597522.439617425,505414474.4333409,387478.07717807114,35487812862.732,4741.391935113265,17.17472694060503,52.288650027709494,776014578.2364404,5284789.830992793,18804.83520458433,11822.825521870385,8545470.336882137,5.735433420323472,33497.08191305435,214729.99816966837,386771.80614755244,59753768.11540723
