x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,year,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
-119.677633,59.205383999999995,CAN,Mica,Estimates.,-119.677633,Mica,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,15000,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Canada,,,CA,Mica,*
2.452177,46.620563,FRA,Mica,Estimates.|Including mica recovered from mica schists and/or kaolin beneficiation.,2.452177,Mica,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,19000,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,France,,,FR,Mica,*|e
-3.562909,40.389544,ESP,Mica,Including mica recovered from mica schists and/or kaolin beneficiation.,-3.562909,Mica,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,7126,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Spain,,,ES,Mica,e
128.0,36.0,KOR,Mica,Mainly sericite.,128.000000,Mica,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,20983,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Korea (Rep. of),,,KR,Mica,a
-97.834383,39.139831,USA,Mica,Sold or used by producers.|Including mica recovered from mica schists and/or kaolin beneficiation.,-97.834383,Mica,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,36400,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,USA,,,US,Mica,d|e
94.13658799999999,63.462201,RUS,Mica,Estimates.,94.136588,Mica,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,4500,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Russia,,,RU,Mica,*
120.964347,23.753332,TWN,Mica,,120.964347,Mica,23.753332,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,3186,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Taiwan,,,TW,Mica,
-101.933344,23.629557,MEX,Mica,,-101.933344,Mica,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,219,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Mexico,,,MX,Mica,
-49.028009999999995,-12.408957,BRA,Mica,,-49.028010,Mica,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,9203,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Brazil,,,BR,Mica,
-6.587161,31.846552,MAR,Mica,,-6.587161,Mica,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,39600,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Morocco,,,MA,Mica,
-64.247496,-31.841561,ARG,Mica,,-64.247496,Mica,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,0,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Argentina,,,AR,Mica,
33.526313,39.351717,TUR,Mica,,33.526313,Mica,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,4139,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Turkey,,,TR,Mica,
-73.327862,3.734623,COL,Mica,,-73.327862,Mica,3.734623,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,322,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Colombia,,,CO,Mica,
23.214465999999998,-30.457874999999998,ZAF,Mica,,23.214466,Mica,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,194,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,South Africa,,,ZA,Mica,
27.679723,63.018750999999995,FIN,Mica,,27.679723,Mica,63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,7247,Production of mica,98,tonnes (metric),Production,mica,,2020-01-01,Finland,,,FI,Mica,
28.915516,26.221542,EGY,Phosphate rock,Years ended 30 June of that stated.,28.915516,,26.221542,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,3052000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Egypt,,,EG,Phosphate rock,e
-49.028009999999995,-12.408957,BRA,Phosphate rock,Including beneficiated and directly shipped material.,-49.028010,,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,5150451,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Brazil,,,BR,Phosphate rock,d
-64.007094,7.145968,VEN,Phosphate rock,Estimates.,-64.007094,,7.145968,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,70000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Venezuela,,,VE,Phosphate rock,*
79.282538,22.642556,IND,Phosphate rock,Years ended 31 March following that stated.,79.282538,,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,1455627,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,India,,,IN,Phosphate rock,f
55.508706,31.955713,IRN,Phosphate rock,Years ended 20 March following that stated.,55.508706,,31.955713,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,96160,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Iran,,,IR,Phosphate rock,m
43.668758,32.734232999999996,IRQ,Phosphate rock,Estimates.,43.668758,,32.734233,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,300000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Iraq,,,IQ,Phosphate rock,*
71.28184499999999,30.792002999999998,PAK,Phosphate rock,Years ended 30 June of that stated.,71.281845,,30.792003,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,87724,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Pakistan,,,PK,Phosphate rock,e
121.417908,17.522436,PHL,Phosphate rock,Estimates.,121.417908,,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,1500,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Philippines,,,PH,Phosphate rock,*
38.508277,35.025607,SYR,Phosphate rock,Estimates.,38.508277,,35.025607,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,130000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Syria,,,SY,Phosphate rock,*
166.932627,-0.5211319999999999,NRU,Phosphate rock,Exports.,166.932627,,-0.521132,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,119498,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Nauru,,,NR,Phosphate rock,b
69.217179,48.473662,KAZ,Phosphate rock,Estimates.,69.217179,,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,1300000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Kazakhstan,,,KZ,Phosphate rock,*
132.72135600000001,-23.137734,AUS,Phosphate rock,Years ended 30 June of that stated.,132.721356,,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,936043,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Australia,,,AU,Phosphate rock,e
105.662522,-10.492523,CXR,Phosphate rock,Exports.|Including phosphate dust.|Years ended 30 June of that stated.,105.662522,,-10.492523,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,387000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Christmas Island,,,CX,Phosphate rock,b|c|e
94.13658799999999,63.462201,RUS,Phosphate rock,,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,13800000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Russia,,,RU,Phosphate rock,
-101.933344,23.629557,MEX,Phosphate rock,,-101.933344,,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,577152,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Mexico,,,MX,Phosphate rock,
63.826062,41.895281,UZB,Phosphate rock,,63.826062,,41.895281,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,646000,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Uzbekistan,,,UZ,Phosphate rock,
9.011444,33.802665999999995,TUN,Phosphate rock,,9.011444,,33.802666,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,3194100,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Tunisia,,,TN,Phosphate rock,
-69.73191899999999,-26.162882999999997,CHL,Phosphate rock,,-69.731919,,-26.162883,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,0,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Chile,,,CL,Phosphate rock,
36.517534999999995,30.758101,JOR,Phosphate rock,,36.517535,,30.758101,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,8937752,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Jordan,,,JO,Phosphate rock,
23.214465999999998,-30.457874999999998,ZAF,Phosphate rock,,23.214466,,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,581392,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,South Africa,,,ZA,Phosphate rock,
-73.327862,3.734623,COL,Phosphate rock,,-73.327862,,3.734623,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,56846,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Colombia,,,CO,Phosphate rock,
34.022162,-5.686961,TZA,Phosphate rock,,34.022162,,-5.686961,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,28376,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Tanzania,,,TZ,Phosphate rock,
-73.03382599999999,-13.197341,PER,Phosphate rock,,-73.033826,,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,8594180,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Peru,,,PE,Phosphate rock,
34.658280999999995,30.719482,ISR,Phosphate rock,,34.658281,,30.719482,http://resource.geosciml.org/classifier/cgi/commodity-code/phosphate-rock,110,2505200,Production of phosphate rock,112,tonnes (metric),Production,phosphate rock,,2020-01-01,Israel,,,IL,Phosphate rock,
