Metal,Year,Energy transition (kt),Rest of the economy (kt)
Silicon,2023,1126.1013540000001,3153.8986459999996
Silicon,2030,2029.79123,3829.9059095965304
Silicon,2035,2255.96487,4319.506048041255
Silicon,2040,2105.1557000000003,4823.708678846287
Silicon,2045,2050.8009,5388.784248102137
Silicon,2050,2479.9736000000003,5987.519516628484
Silver,2023,6.47164,14.993561166180758
Silver,2030,11.6706,18.207284051147894
Silver,2035,9.89038,20.534831777531473
Silver,2040,6.27125,22.931799414621636
Silver,2045,3.29975,25.6181555922044
Silver,2050,1.70387,28.464529201066224
Tantalum,2023,0.0586607,1.2626204387900357
Tantalum,2030,0.43761,1.5332507549766463
Tantalum,2035,0.335397,1.7292555132204661
Tantalum,2040,0.266371,1.9311061807279783
Tantalum,2045,0.200396,2.157326501443811
Tantalum,2050,0.146576,2.397022025085507
Tellurium,2023,0.696188,0.24781199999999992
Tellurium,2030,1.55057,0.30092807340928585
Tellurium,2035,1.47559,0.3393975371195867
Tellurium,2040,1.07253,0.37901436580351533
Tellurium,2045,0.673667,0.42341417780953206
Tellurium,2050,0.535772,0.47045874106847807
Tin,2023,2.15,266.9676470588235
Tin,2030,4.92,324.18954567180754
Tin,2035,5.140000000000001,365.6326646908778
Tin,2040,4.34,408.31183897493554
Tin,2045,3.54,456.1437169352458
Tin,2050,4.46,506.82478306663086
Titanium,2023,5.20869,314.79131
Titanium,2030,22.6927,382.2637420475412
Titanium,2035,19.1775,431.13083838009607
Titanium,2040,15.0706,481.4554126519613
Titanium,2045,11.4437,537.8557281537438
Titanium,2050,9.47568,597.6156255625114
Tungsten,2023,0.0823336,70.33195211428571
Tungsten,2030,0.169077,85.40691673069162
Tungsten,2035,0.174207,96.32500172873505
Tungsten,2040,0.13034,107.56872236340135
Tungsten,2045,0.110329,120.16990976308522
Tungsten,2050,0.0951723,133.52170858786238
Vanadium,2023,0.0140472,34.17206597024957
Vanadium,2030,35.2687,41.49651339258076
Vanadium,2035,272.391,46.801264783750376
Vanadium,2040,556.407,52.264232207923875
Vanadium,2045,636.594,58.38674970076637
Vanadium,2050,773.134,64.87396549026116
Yttrium,2023,0.01,7.899375497068767
Yttrium,2030,0.03,9.592529213554728
Yttrium,2035,0.03,10.818800495891852
Yttrium,2040,0.01,12.081645740582974
Yttrium,2045,0.01,13.49695568132349
Yttrium,2050,0.01,14.9965709956667
Zinc,2023,730.966,12772.633999999998
Zinc,2030,1770.51,15510.32291407172
Zinc,2035,1913.76,17493.101714726876
Zinc,2040,1670.23,19535.017574412934
Zinc,2045,1432.58,21823.45618280017
Zinc,2050,1800.74,24248.20957729424
Zirconium,2023,0.63,1230.57
Zirconium,2030,11.139999999999999,1494.330618756416
Zirconium,2035,11.99,1685.359979554057
Zirconium,2040,10.100000000000001,1882.0868566769645
Zirconium,2045,8.64,2102.5647861567477
Zirconium,2050,10.85,2336.1758631407565
