Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2022,Aluminium,Electricity Networks,110041059154.47258,117898547650.55663,1117462620448.256,430690543.982554,32653971474662.1,771246.4349890192,959.565728614625,9651.88231498551,375314459515.4696,1362568032.3428156,11114070.110164821,6576721.0090851085,600785936.7944977,869.6025893432583,92273762.04308558,197475887.82600546,443803437.82511586,21984102603.597656
NZE,2030,Aluminium,Electricity Networks,123955401381.6123,131698490113.20796,1250881072245.379,583778960.2560376,42505150547587.63,1106800.4495993685,1499.5948636417838,15192.527906441648,688973570473.9067,2200899882.609706,28438866.019982334,8471232.836711721,934710673.5014806,1137.5889448797016,104418885.36254404,244951956.5763551,600754227.5811555,29292072699.945312
NZE,2040,Aluminium,Electricity Networks,134912552774.1632,142070310878.48386,1334979788248.7598,750413442.3442719,52644632558657.96,1556667.6838095388,2054.312658943327,21493.57470101985,915239664756.1272,3764029213.7628403,47713886.4258584,10599159.13875365,1313287266.7834463,1538.1664334825834,121997022.37219882,295640756.1642103,771819244.9034512,34708694360.41406
NZE,2050,Aluminium,Electricity Networks,80402468162.06984,83699034800.18735,809017508313.3538,517451518.5995225,34544936154198.55,1067686.0575942248,1481.4476772525268,15830.782323869778,664296829181.7545,2773175876.526448,34834985.29126808,7083565.424552044,979420164.770295,1116.370821519452,77863940.24280071,192950226.2187624,531876162.979962,23384374969.398438
NZE,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2030,Arsenic,Solar PV,1162886.632822244,1248350.8471615391,21177722.77648311,9252.794302132465,1038920440.1135871,133.90359762472158,0.4902001220657494,1.4805622380669545,34698004.38376632,100143.16241967633,903.0908780420272,342.5216821947341,242354.67332731778,0.15726517725208883,902.9517094217857,6630.862349618769,9791.056535659947,2188689.5459418297
NZE,2040,Arsenic,Solar PV,24800923.409856323,26730814.752393235,456450005.8311544,265669.01317544264,32065418191.451515,4465.049362141504,15.51179291205968,47.22274097680072,700765681.8758417,4686418.739731253,30427.562623353017,10584.827864952802,7717848.748735885,5.177685636539699,26737.83867172812,193938.52274094085,282183.3245191506,62238975.77612305
NZE,2050,Arsenic,Solar PV,19685799.657609157,21233839.0061584,347392709.43541265,238955.35073935424,29226548356.224792,4126.978353893795,14.085815690121676,42.857602265670415,458855849.4447928,4833069.526175124,27129.662312636785,9679.67785701466,7057354.782811882,4.761059729988883,24883.21394910643,174672.91901021884,254044.7430919631,54547600.67289734
NZE,2022,Boron,Wind,454066.787985573,485954.9683947395,6984584.22604909,5450.533861865429,211798183.65537715,16.40751068531002,0.008516076986891719,0.1648365357512291,3128248.421402911,16509.415284497387,120.1647023470468,76.45787485811113,17698.65721947946,0.01036443640241207,454.0746895826158,2100.8140786752906,5604.824652082802,288049.2757986188
NZE,2030,Boron,Wind,1431732.4580380523,1525314.3639145151,24555933.049954556,23289.89149981675,861690610.1099771,76.83150037445259,0.0384559910579794,0.7467180869202339,14173114.948472535,82402.33633239729,692.3086318396635,323.4103177392244,79651.29914957559,0.04387821678735578,1709.3865056409222,8623.113201746437,23939.84402632981,1199536.3723365664
