Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2022,Aluminium,Electricity networks,48329915174,14378273966,651340.9322,193775.6027,0.005028716,1099633061,13705965318,5720565224,2339679.015,712.3635887,11056.5768,21115.89951,6677.99256,5.381344574,84.04296268,911240268.5,1091008855,16459847114,1786723478,6926.05197,5869.825111,71983397.33,1.242826113,150324.3926,1878367904,191.6546599,8663157079,252860429.5,214248613.4,32293081.83,187931.6345,4100.591787,4645413.289,1039381.293,1.14603E+11
NZE,2030,Aluminium,Electricity networks,51167637543,15025028428,689584.8379,202491.8949,0.0173756,1478891324,18135923495,5611871304,3105335.673,984.9122129,16261.15492,29839.72151,11186.30079,8.802360366,144.6834332,1400841214,2067075550,17014912413,1846960971,10538.89741,9196.588313,83552908.51,1.524693223,162411.2827,2187784508,222.9068346,11002990977,384745328.5,335675468.1,46503404.75,234784.5,5863.336357,4457127.366,1118992.559,1.27798E+11
NZE,2035,Aluminium,Electricity networks,54934720966,16026061074,740353.7169,215982.7844,0.024383978,1773646152,21820040709,5871464860,3845085.938,1199.249233,20002.56909,36660.34473,14471.43762,10.53093774,176.0413161,1962374042,2766021947,18030865951,1957235065,13194.76241,11825.74648,95426058.35,1.722390829,180593.3125,2487849272,253.5619397,12971070880,481697814.5,431639739.5,51593541.07,266671.1274,7115.015473,4661339.77,1216809.759,1.41671E+11
NZE,2040,Aluminium,Electricity networks,55820302522,16178231040,752288.675,218033.5749,0.028087438,1961284507,23878148980,5569095224,4310304.361,1336.760624,22289.19332,41142.54279,16902.875,11.26175093,192.2156876,2476724120,3155751454,18146272627,1969758741,14957.06618,13671.45311,101490037.8,2.061832718,188804.0261,2641443876,269.0326319,14096741855,546028520.6,499008030.2,54769067.08,278196.3976,7841.214869,4597296.37,1249102.176,1.47104E+11
NZE,2045,Aluminium,Electricity networks,46185690747,13295461860,622443.2781,179182.574,0.023495088,1765813544,21322044389,4238522444,3819373.122,1212.178039,20249.84676,37575.80872,16030.27178,10.04335992,175.0181932,2342352167,2886323326,14870614607,1614186219,13808.90065,12858.88153,87681407.81,1.896784932,161151.4155,2282797823,232.3469965,12469855890,504108283.7,469349168.2,48571378.25,245443.0821,7132.433908,3688880.438,1045387.072,1.24391E+11
NZE,2050,Aluminium,Electricity networks,33354042461,9522946752,449511.5086,128340.4916,0.017354768,1390636878,16612143899,2733272021,2921119.645,953.2854523,16084.37616,29711.87142,13041.1404,7.892436146,139.515185,1830700335,2316625545,10615066701,1152248307,11091.1411,10447.98171,66047055.38,1.496483498,119956.0069,1726785695,175.5843396,9651063200,404890259.2,381351325.8,41154689.05,187430.7298,5691.010209,2546176.974,763606.2892,91804652235
NZE,2022,Arsenic,Solar PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZE,2030,Arsenic,Solar PV,600256.0794,182310.4893,8.089634615,2.456993447,2.60E-06,39405.37514,660104.919,71029.58983,512.1586452,0.05390334,7.0698322,2.83959496,2.212251778,0.000655804,0.009207205,80817.69163,113782.6649,215165.0389,23355.4707,0.383224653,0.751837852,3840.041915,0.000266427,2.034081199,74809.90743,0.007625426,212921.1718,13989.19828,27442.08091,937.9695327,22.16645131,1.763599601,327.0800721,26.53699048,2321030.242
NZE,2035,Arsenic,Solar PV,2635682.16,804153.8509,35.52101573,10.83755931,1.60E-05,215296.2335,3806231.887,359053.2955,3057.212604,0.313461599,41.36125644,16.60866192,13.00002378,0.003047063,0.042758787,589028.741,665090.8849,940848.7889,102125.6031,2.200148175,4.493359579,21774.8072,0.001527591,9.723717646,410151.3908,0.041856672,1160406.985,80313.88186,164007.6205,4750.913105,121.245237,10.29059728,1845.103959,137.7424384,11963947.36
NZE,2040,Arsenic,Solar PV,11179179.1,3416642.28,150.6614882,46.04599396,7.56E-05,999092.3685,18121115.49,1647621.911,14828.31266,1.49552088,196.0138376,79.23470385,61.94465322,0.011592385,0.162963057,3482309.455,3017518.524,3983242.18,432372.659,10.35671476,21.82946297,103449.723,0.007685481,45.81056112,1912422.881,0.195404294,5426382.62,378060.1812,796775.3781,20520.0863,552.2862817,48.72235071,8790.961711,630.2951702,54940908.83
