COMMODITY,COUNTRY,TYPE,DATA_TYPE,UNIT_MEAS,YEAR,VALUE,NOTES
Abrasives,World total,"Plant capacity, fused aluminum oxide",Capacity,metric tons,2023,1310000.0,
Abrasives,World total,"Plant capacity, silicon carbide",Capacity,metric tons,2023,1010000.0,
Abrasives,World total,"Plant capacity, fused aluminum oxide",Capacity,metric tons,2024,1310000.0,
Abrasives,World total,"Plant capacity, silicon carbide",Capacity,metric tons,2024,1010000.0,
Aluminum,World total,"Smelter production, aluminum",Production,thousand metric tons,2023,70000.0,
Aluminum,World total,"Smelter production, aluminum",Capacity,thousand metric tons,2023,78300.0,
Aluminum,World total,"Smelter production, aluminum",Capacity,thousand metric tons,2024,78400.0,
Aluminum,World total,"Smelter production, aluminum",Production,thousand metric tons,2024,72000.0,
Antimony,World total,"Mine production, antimony content",Reserves,metric tons,2024,>2000000,
Antimony,World total,"Mine production, antimony content",Production,metric tons,2023,106000.0,
Antimony,World total,"Mine production, antimony content",Production,metric tons,2024,100000.0,
Arsenic,World total,"Plant production, arsenic trioxide or calculated equivalent.",Production,metric tons,2024,58000.0,
Arsenic,World total,"Plant production, arsenic trioxide or calculated equivalent.",Production,metric tons,2023,61500.0,
Arsenic,World total,"Plant production, arsenic trioxide or calculated equivalent.",Capacity,metric tons,2024,81000.0,
Asbestos,World total,"Mine production, asbestos",Production,metric tons,2024,1200000.0,
Asbestos,World total,"Mine production, asbestos",Production,metric tons,2023,1240000.0,
Barite  ,World total,"Mine production, barite, estimated",Production,thousand metric tons,2024,8200.0,excludes U.S. production
Barite  ,World total,"Mine production, barite, estimated",Production,thousand metric tons,2023,8080.0,excludes U.S. production
Bauxite,World total,"Refinery production, alumina - calcined equivalent weights",Production,thousand metric dry tons,2024,142000.0,
Bauxite,World total,"Mine production, bauxite, dry tons",Production,thousand metric dry tons,2024,450000.0,Excludes U.S. production.
Bauxite,World total,"Mine production, bauxite, dry tons",Production,thousand metric dry tons,2023,438000.0,Excludes U.S. production.
Bauxite,World total,"Mine production, bauxite, dry tons",Reserves,thousand metric dry tons,2024,29000000,
Bauxite,World total,"Refinery production, alumina - calcined equivalent weights",Production,thousand metric dry tons,2023,141000.0,
Beryllium  ,World total,"Mine production, beryllium content",Production,metric tons,2024,360.0,
Beryllium  ,World total,"Mine production, beryllium content",Production,metric tons,2023,325.0,
Bismuth,World total,Refinery production,Production,metric tons,2023,16200.0,
Bismuth,World total,Refinery production,Production,metric tons,2024,16000.0,
Boron ,World total,Boron all types,Production,thousand metric tons,2023,3938.0,xx
Boron ,World total,Boron all types,Production,thousand metric tons,2024,4570.0,xx
Boron ,World total,Boron all types,Reserves,thousand metric tons,2024,1086100,xx
Bromine ,World total,"Production, bromine content, estimated",Production,metric tons,2024,400000.0,Excludes U.S. production
Bromine ,World total,"Production, bromine content, estimated",Production,metric tons,2023,395000.0,Excludes U.S. production
Cadmium ,World total,"Refinery production, estimated",Production,metric tons,2023,24100.0,
Cadmium ,World total,"Refinery production, estimated",Production,metric tons,2024,24000.0,
Cement,World total,"Cement production, estimated",Production,thousand metric tons,2024,4000000.0,
Cement,World total,"Clinker capacity, estimated",Production,thousand metric tons,2024,3800000.0,
Cement,World total,"Cement production, estimated",Production,thousand metric tons,2023,4100000.0,
