COMMODITY,COUNTRY,TYPE,DATA_TYPE,UNIT_MEAS,YEAR,VALUE,NOTES
Cement,World total,"Clinker capacity, estimated",Production,thousand metric tons,2023,3800000.0,
Chromium,World total,"Mine production, grosss weight, marketable chromite ore",Production,thousand metric tons,2024,47000.0,
Chromium,World total,"Mine production, grosss weight, marketable chromite ore",Production,thousand metric tons,2023,45200.0,
Chromium,World total,"Mine production, grosss weight, marketable chromite ore",Reserves,thousand metric tons,2024,>1200000,
Clays,World total,"Mine poduction, Bentonite",Production,thousand metric tons,2024,21000.0,
Clays,World total,"Mine poduction, Fuller's earth",Production,thousand metric tons,2024,4300.0,
Clays,World total,"Mine poduction, Kaolin",Production,thousand metric tons,2024,4400.0,
Clays,World total,"Mine poduction, Bentonite",Production,thousand metric tons,2023,20300.0,
Clays,World total,"Mine poduction, Fuller's earth",Production,thousand metric tons,2023,4200.0,
Clays,World total,"Mine poduction, Kaolin",Production,thousand metric tons,2023,44400.0,
Cobalt,World total,"Mine production, cobalt content, estimated",Production,metric tons,2024,290000.0,
Cobalt,World total,"Mine production, cobalt content, estimated",Production,metric tons,2023,238000.0,
Cobalt,World total,"Mine production, cobalt content, estimated",Reserves,metric tons,2024,11000000,
Copper ,World total,"Refinery production, copper",Production,thousand metric tons,2024,27000.0,
Copper ,World total,"Mine production, recoverable copper content",Production,thousand metric tons,2024,23000.0,
Copper ,World total,"Mine production, recoverable copper content",Reserves,thousand metric tons,2024,980000,
Copper ,World total,"Mine production, recoverable copper content",Production,thousand metric tons,2023,22600.0,
Copper ,World total,"Refinery production, copper",Production,thousand metric tons,2023,27000.0,
Diamond (industrial),World total,"Mine production, industrial diamond",Production,million carats,2024,41.0, 
Diamond (industrial),World total,"Mine production, industrial diamond",Production,million carats,2023,41.0, 
Diamond (industrial),World total,"Mine production, industrial diamond",Reserves,million carats,2024,1700,
Diatomite,World total,"Mine production, estimated",Production,thousand metric tons,2024,3000.0,
Diatomite,World total,"Mine production, estimated",Production,thousand metric tons,2023,3010.0,
Feldspar,World total,"Mine production, estimated",Production,thousand metric tons,2024,33000.0,
Feldspar,World total,"Mine production, estimated",Production,thousand metric tons,2023,33400.0,
Fluorspar,World total,"Mine production, estimated",Production,thousand metric tons,2024,9500.0,
Fluorspar,World total,"Mine production, estimated",Reserves,thousand metric tons,2024,320000,
Fluorspar,World total,"Mine production, estimated",Production,thousand metric tons,2023,9530.0,
Gallium ,World total,Primary production,Production,kilograms,2024,760000.0,
Gallium ,World total,Primary production,Capacity,kilograms,2024,1100000.0,estimated
Gallium ,World total,Primary production,Production,kilograms,2023,633000.0,
Garnet (industrial),World total,"Mine production, estimated",Production,metric tons,2024,980000.0,
Garnet (industrial),World total,"Mine production, estimated",Production,metric tons,2023,972000.0,
Gemstones,World total,"Mine production, thousand carats of gem-quality diamond",Production,thousand carats,2024,72000.0,
Gemstones,World total,"Mine production, thousand carats of gem-quality diamond",Reserves,thousand carats,2024,>2000000,
Gemstones,World total,"Mine production, thousand carats of gem-quality diamond",Production,thousand carats,2023,71800.0,
Gold ,World total,"mine production, gold content",Production,metric tons,2024,3300.0,
Gold ,World total,"mine production, gold content",Reserves,metric tons,2024,64000,
Gold ,World total,"mine production, gold content",Production,metric tons,2023,3250.0,
Graphite,World total,Mine production,Production,metric tons,2024,1600000.0,
Graphite,World total,Mine production,Reserves,metric tons,2024,290000000,
Graphite,World total,Mine production,Production,metric tons,2023,1530000.0,
Gypsum,World total,"Mine production, estimated",Production,thousand metric tons,2023,157000.0,
Gypsum,World total,"Mine production, estimated",Production,thousand metric tons,2024,160000.0,
Helium,World total,"Production, helium gas content",Production,million cubic meters,2023,176.0,
Helium,World total,"Production, helium gas content",Production,million cubic meters,2024,180.0,
Indium,World total,Refinery production,Production,metric tons,2024,1080.0,
Indium,World total,Refinery production,Production,metric tons,2023,1020.0,
Indium,World total,Refinery production,Reserves,metric tons,2024,1800,
Iodine,World total,"Mine production, elemental iodine",Reserves,metric tons,2024,6200000,
Iodine,World total,"Mine production, elemental iodine",Production,metric tons,2023,32600.0,Excludes U.S. Production
Iodine,World total,"Mine production, elemental iodine",Production,metric tons,2024,33000.0,Excludes U.S. Production
Iron Ore  ,World total,"Mine production, usable ore",Production,thousand metric tons,2024,2500000.0,
Iron Ore  ,World total,"Mine production, usable ore",Reserves,thousand metric tons,2024,200000,"Crude Ore, million metric tons"
Iron Ore  ,World total,"Mine production, usable ore",Production,thousand metric tons,2023,2530000.0,
Iron Ore  ,World total,"Mine production, iron content",Production,thousand metric tons,2024,1600000.0,
Iron Ore  ,World total,"Mine production, iron content",Reserves,thousand metric tons,2024,88000,"Iron Content, million metric tons"
Iron Ore  ,World total,"Mine production, iron content",Production,thousand metric tons,2023,1560000.0,
Iron and Steel,World total,Raw steel,Production,million metric tons,2024,1900.0, 
Iron and Steel,World total,Pig iron,Production,million metric tons,2024,1300.0,
Iron and Steel,World total,Pig iron,Production,million metric tons,2023,1310.0,
Iron and Steel,World total,Raw steel,Production,million metric tons,2023,1890.0, 
Lead,World total,"Mine production, lead content",Production,thousand metric tons,2024,4300.0,
Lead,World total,"Mine production, lead content",Production,thousand metric tons,2023,4370.0,
Lead,World total,"Mine production, lead content",Reserves,thousand metric tons,2024,96000,
Lime,World total,"Plant production, lime",Production,thousand metric tons,2024,420000.0,
Lime,World total,"Plant production, lime",Production,thousand metric tons,2023,424000.0,
Lithium ,World total,"Mine production, lithium content",Production,metric tons,2024,240000.0,Excludes U.S. production.
Lithium ,World total,"Mine production, lithium content",Reserves,metric tons,2024,30000000,
Lithium ,World total,"Mine production, lithium content",Production,metric tons,2023,204000.0,Excludes U.S. production.
Magnesium Compounds,World total,"Mine production, magnesite - gross weight",Production,thousand metric tons,2024,22000.0,Excludes U.S. production.
Magnesium Compounds,World total,"Mine production, magnesite - gross weight",Production,thousand metric tons,2023,22200.0,Excludes U.S. production.
Magnesium Compounds,World total,"Mine production, magnesite - gross weight",Reserves,thousand metric tons,2024,7700000,
Magnesium metal,World total,Magnesium smelter production,Production,thousand metric tons,2023,900.0,
Magnesium metal,World total,Magnesium smelter production,Production,thousand metric tons,2024,1000.0,
Magnesium metal,World total,Magnesium smelter production,Capacity,thousand metric tons,2024,2100.0,
Magnesium metal,World total,Magnesium smelter production,Reserves,thousand metric tons,2024,2104,
Manganese,World total,"Mine production, manganese content",Production,thousand metric tons,2023,19600.0,
Manganese,World total,"Mine production, manganese content",Reserves,thousand metric tons,2024,1700000, 
Manganese,World total,"Mine production, manganese content",Production,thousand metric tons,2024,20000.0,
Mercury,World total,"Mine production, mercury content",Production,metric tons,2023,1130.0,
Mercury,World total,"Mine production, mercury content",Production,metric tons,2024,1200.0,
Mica (Natural),World total,"Mine production, mica scrap and flake",Production,metric tons,2023,318000.0,
Mica (Natural),World total,"Mine production, mica scrap and flake",Production,metric tons,2024,330000.0,
Molybdenum ,World total,"Mine production, molybdenum content",Production,metric tons,2023,248000.0,
Molybdenum ,World total,"Mine production, molybdenum content",Reserves,metric tons,2024,15000, (Reserve data is thousand metric tons).
Molybdenum ,World total,"Mine production, molybdenum content",Production,metric tons,2024,260000.0,
Nickel,World total,"Mine production, nickel content",Reserves,metric tons,2024,>130000000,
Nickel,World total,"Mine production, nickel content",Production,metric tons,2023,3750000.0,
Nickel,World total,"Mine production, nickel content",Production,metric tons,2024,3700000.0,
Niobium,World total,"Mine production, niobium content",Reserves,metric tons,2024,">17,000,000",
Niobium,World total,"Mine production, niobium content",Production,metric tons,2023,110000.0,
Niobium,World total,"Mine production, niobium content",Production,metric tons,2024,110000.0,
Nitrogen(fixed) - Ammonia,World total,"Plant production, nitrogen content",Production,thousand metric tons,2024,150000.0,
Nitrogen(fixed) - Ammonia,World total,"Plant production, nitrogen content",Production,thousand metric tons,2023,152000.0,
Peat ,World total,Mine production,Reserves,thousand metric tons,2024,13000000,
Peat ,World total,Mine production,Production,thousand metric tons,2024,20000.0,
Peat ,World total,Mine production,Production,thousand metric tons,2023,19900.0,
Perlite,World total,"Mine production, estimated",Production,thousand metric tons,2023,4230.0,
Perlite,World total,"Mine production, estimated",Production,thousand metric tons,2024,4300.0,
Phosphate rock ,World total,"Mine production, marketable phosphate rock",Production,thousand metric tons,2023,233000.0,
Phosphate rock ,World total,"Mine production, marketable phosphate rock",Production,thousand metric tons,2024,240000.0,
Phosphate rock ,World total,"Mine production, marketable phosphate rock",Reserves,thousand metric tons,2024,74000000,
Platinum-Group metals,World total,"Mine production, Palladium content",Production,kilograms,2023,208000.0,
Platinum-Group metals,World total,"Mine production, Palladium content",Production,kilograms,2024,190000.0,
Platinum-Group metals,World total,"Mine production, Platinum content",Production,kilograms,2024,170000.0,
Platinum-Group metals,World total,"Mine production, Platinum content",Production,kilograms,2023,179000.0,
Platinum-Group metals,World total,"Mine production, Palladium content",Reserves,kilograms,2024,81000000,
Potash  ,World total,"Mine production, potassium oxide (K2O) equivalent",Production,thousand metric tons,2023,43300.0,
Potash  ,World total,"Mine production, potassium oxide (K2O) equivalent",Reserves,thousand metric tons,2024,4800000,
Potash  ,World total,"Mine production, potassium oxide (K2O) equivalent",Production,thousand metric tons,2024,48000.0,
Potash  ,World total,"Reserves, recoverable ore",Reserves,thousand metric tons,2024,>10000000,
Pumice & Pumicite ,World total,"Mine production, estimated",Production,thousand metric tons,2023,17500.0,
Pumice & Pumicite ,World total,"Mine production, estimated",Production,thousand metric tons,2024,18000.0,
Rare earths,World total,"Mine production, rare-earth-oxide equivalent",Production,metric tons,2024,390000.0,
Rare earths,World total,"Mine production, rare-earth-oxide equivalent",Reserves,metric tons,2024,>90000000,
Rare earths,World total,"Mine production, rare-earth-oxide equivalent",Production,metric tons,2023,376000.0,
Rhenium,World total,"Mine production, rhenium content",Production,kilograms,2024,62000.0,
Rhenium,World total,"Mine production, rhenium content",Production,kilograms,2023,62600.0,
Salt ,World total,"Mine production, estimated",Production,thousand metric tons,2023,270000.0,
Salt ,World total,"Mine production, estimated",Production,thousand metric tons,2024,280000.0,
Sand and gravel (industrial),World total,"Mine production, estimated",Production,metric tons,2024,440000.0,
Sand and gravel (industrial),World total,"Mine production, estimated",Production,metric tons,2023,446000.0,
Selenium,World total,"Refinery production, selenium content",Production,metric tons,2024,3700.0,Excludes U.S. production.
Selenium,World total,"Refinery production, selenium content",Production,metric tons,2023,3530.0,Excludes U.S. production.
Selenium,World total,"Refinery production, selenium content",Reserves,metric tons,2024,92000,
Silicon,World total,"Plant production, Ferosilicon, silicon content ",Production,thousand metric tons,2023,5190.0,
Silicon,World total,"Plant production, silicon metal",Production,thousand metric tons,2024,4600.0,
Silicon,World total,"Plant production, Ferosilicon, silicon content ",Production,thousand metric tons,2024,5100.0,
Silicon,World total,"Plant production, silicon metal",Production,thousand metric tons,2023,4280.0,
Silver,World total,"Mine production, silver content",Production,metric tons,2024,25200.0,
Silver,World total,"Mine production, silver content",Reserves,metric tons,2024,640000,
Silver,World total,"Mine production, silver content",Production,metric tons,2023,25476.0,
Soda ash,World total,"Mine production, natural",Reserves,thousand metric tons,2024,25000000,
Soda ash,World total,"Soda ash, total natural and synthetic",Production,thousand metric tons,2024,73000.0, 
Soda ash,World total,"Production, Synthetic",Production,thousand metric tons,2023,45900.0,
Soda ash,World total,"Mine production, natural",Production,thousand metric tons,2024,24000.0,
Soda ash,World total,"Production, Synthetic",Production,thousand metric tons,2024,49000.0,
Soda ash,World total,"Mine production, natural",Production,thousand metric tons,2023,23000.0,
Soda ash,World total,"Soda ash, total natural and synthetic",Production,thousand metric tons,2023,68800.0, 
Strontium,World total,"Mine production, strontium content",Production,metric tons,2024,510000.0,
Strontium,World total,"Mine production, strontium content",Production,metric tons,2023,509000.0,
Sulfur,World total,"Production, all forms, sulfur content",Production,thousand metric tons,2023,85800.0,
Sulfur,World total,"Production, all forms, sulfur content",Production,thousand metric tons,2024,85000.0,
"Talc, crude",World total,"Mine production, estimated",Production,thousand metric tons,2024,6900.0,
"Talc, crude",World total,"Mine production, estimated",Production,thousand metric tons,2023,6710.0,
Tantalum,World total,"Mine production, tantalum content",Production,metric tons,2024,2100.0,
Tantalum,World total,"Mine production, tantalum content",Production,metric tons,2023,2040.0,
Tellurium,World total,"Refinery production, tellurium content",Production,metric tons,2023,944.0,Excludes U.S. production.
Tellurium,World total,"Refinery production, tellurium content",Production,metric tons,2024,980.0,Excludes U.S. production.
Tellurium,World total,"Refinery production, tellurium content",Reserves,metric tons,2024,35000,
Tin,World total,"Mine production, tin content",Production,metric tons,2023,305000.0,
Tin,World total,"Mine production, tin content",Production,metric tons,2024,300000.0,
Tin,World total,"Mine production, tin content",Reserves,metric tons,2024,4200000,
Titanium & titanium dioxide,World total,Pigment Capacity,Capacity,metric tons,2024,9800000.0,
Titanium & titanium dioxide,World total,Sponge Metal Production,Capacity,metric tons,2024,410000.0,
Titanium & titanium dioxide,World total,Sponge Metal Production,Production,metric tons,2023,320000.0,Excludes U.S. production.
Titanium & titanium dioxide,World total,Sponge Metal Production,Production,metric tons,2024,320000.0,Excludes U.S. production.
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2023,8840.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2023,8840.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Reserves,metric tons,2024,560000,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Reserves,metric tons,2024,560000,
Titanium Mineral Concentrates,World total,"Mine production, rutile, titanium dioxide (TiO2) content",Production,metric tons,2023,590.0,
Titanium Mineral Concentrates,World total,"Mine production, rutile, titanium dioxide (TiO2) content",Reserves,metric tons,2024,46000,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2023,9430.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2024,8900.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2024,8900.0,
Titanium Mineral Concentrates,World total,"Mine production, rutile, titanium dioxide (TiO2) content",Production,metric tons,2024,450.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2024,9400.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2024,9400.0,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Reserves,metric tons,2024,510000,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Reserves,metric tons,2024,510000,
Titanium Mineral Concentrates,World total,"Mine production, ilmentite, titanium dioxide (TiO2) content",Production,metric tons,2023,9430.0,
Tungsten ,World total,"Mine production, tungsten content",Reserves,metric tons,2024,4600000,
Tungsten ,World total,"Mine production, tungsten content",Production,metric tons,2024,81000.0,
Tungsten ,World total,"Mine production, tungsten content",Production,metric tons,2023,79500.0,
Vanadium,World total,"Mine production, vanadium content",Production,metric tons,2023,104000.0,
Vanadium,World total,"Mine production, vanadium content",Reserves,metric tons,2024,18000, (Reserve data is thousand metric tons).
Vanadium,World total,"Mine production, vanadium content",Production,metric tons,2024,100000.0,
Vermiculite,World total,Mine production,Production,thousand metric tons,2023,458.0,
Vermiculite,World total,Mine production,Production,thousand metric tons,2024,460.0,
Wollastonite,World total,Mine production,Production,metric tons,2024,1100000.0,
Wollastonite,World total,Mine production,Production,metric tons,2023,1010000.0,
Zeolites (natural),World total,Mine production,Production,metric tons,2023,1060000.0,
Zeolites (natural),World total,Mine production,Production,metric tons,2024,1000000.0,
Zinc,World total,"Mine production, zinc content",Production,thousand metric tons,2024,12000.0,
Zinc,World total,"Mine production, zinc content",Production,thousand metric tons,2023,12100.0,
Zinc,World total,"Mine production, zinc content",Reserves,thousand metric tons,2024,230000,
Zirconium,World total,"Mine production, zirconium, gross weight",Production,thousand metric tons,2023,1440.0,
Zirconium,World total,"Mine production, zirconium, gross weight",Production,thousand metric tons,2024,1500.0,
Zirconium,World total,"Mine production, zirconium, gross weight",Reserves,thousand metric tons,2024,70000,ZrO2 content
