Mineral,In_IEA,In_USGS_MCS2024,In_WMD_2024
abrasives,False,True,True
aluminum,True,True,True
antimony,False,True,True
arsenic,True,True,True
asbestos,False,True,True
barite,False,True,True
bauxite,False,True,True
beryllium,False,True,True
bismuth,False,True,True
boron,True,True,True
bromine,False,True,True
cadmium,True,True,True
cement,False,True,True
cesium,False,True,True
chromium,True,True,True
clays,False,True,True
cobalt,True,True,True
copper,True,True,True
diamond,False,True,True
diatomite,False,True,True
dysprosium,True,False,False
feldspar,False,True,True
ferromanganese,True,False,False
ferronickel,True,False,False
fluorspar,False,True,True
gallium,True,True,True
garnet,False,True,True
gemstones,False,True,True
germanium,False,True,True
gold,False,True,True
graphite,True,True,True
gypsum,False,True,True
hafnium,False,True,True
helium,False,True,True
indium,True,True,True
iodine,False,True,True
iridium,True,False,False
iron and steel,False,True,True
iron ore,False,True,True
iron oxide pigments,False,True,True
kyanite,False,True,True
lead,True,True,True
lime,False,True,True
lithium,True,True,True
magnesium,False,True,True
manganese,True,True,True
mercury,False,True,True
mica,False,True,True
molybdenum,True,True,True
neodymium,True,False,False
nickel,True,True,True
niobium,False,True,True
nitrogen,False,True,True
palladium,False,True,True
peat,False,True,True
perlite,False,True,True
phosphate rock,False,True,True
platinum,True,True,True
potash,False,True,True
praseodymium,True,False,False
pumice,False,True,True
quartz,False,True,True
rare earths,False,True,True
rhenium,False,True,True
rubidium,False,True,True
salt,False,True,True
sand and gravel,False,True,True
scandium,False,True,True
selenium,True,True,True
silicon,True,True,True
silver,True,True,True
soda ash,False,True,True
stone,False,True,True
strontium,False,True,True
sulfur,False,True,True
talc,False,True,True
tantalum,False,True,True
tellurium,True,True,True
terbium,True,False,False
thallium,False,True,True
thorium,False,True,True
tin,True,True,True
titanium,False,True,True
tungsten,False,True,True
vanadium,True,True,True
vermiculite,False,True,True
wollastonite,False,True,True
yttrium,False,True,True
zeolites,False,True,True
zinc,True,True,True
zirconium,True,True,True
