Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2022,Aluminium,Electricity Networks,110043114230.78703,117900951516.49368,1117466567961.3481,371079047.5886189,32653422219481.195,701475.3720290312,959.5808310576574,9652.229552802404,375252948760.78217,1296687461.281731,6375142.467304638,7713763.634159307,600795013.1103169,869.6562449582103,103065392.34499927,197478601.48373443,616979724.9541465,13238377085.635271
NZE,2025,Aluminium,Electricity Networks,111445573977.38596,118963946439.86714,1146954908591.6533,412487280.4479865,34386202889498.54,750438.8276953308,1098.1057586547124,11080.863201379296,474363345619.52295,1453093662.0123737,7905719.104617745,7997479.972325054,684043809.5121586,967.005756006634,103692182.90631653,205531475.00238815,659112464.0833107,14665874925.571735
NZE,2030,Aluminium,Electricity Networks,123955879407.61472,131699332448.25696,1250883277057.9502,544429443.0206124,42497414436726.586,992939.210690314,1499.6580030653881,15194.823027213972,688968748079.2489,2125931540.6624722,12881781.133042093,9548903.786671134,934751188.8917971,1137.830775037449,118756545.8054149,244952570.52034178,826594153.518523,18575787318.210125
NZE,2035,Aluminium,Electricity Networks,132925466138.86716,140669163757.5457,1312406815226.6267,657076215.1533973,49521377171555.93,1229476.299366122,1843.63636614621,18937.69713919727,838292003871.6997,2978119731.959513,17237535.903836496,10905835.19926147,1161844520.3086329,1285.366300318776,132051404.53148866,278639499.9038503,971098191.8898057,21803452560.77101
NZE,2040,Aluminium,Electricity Networks,134912499612.81265,142070889293.78156,1334989412524.3677,733231053.4096594,52628768367158.24,1378231.1124908489,2054.430767458458,21498.30287756076,915312822712.2825,3758702868.3456907,19666286.08775583,11598861.43582526,1313372968.8735366,1538.6811391083922,138055149.9309461,295640260.8215187,1053717458.9104478,23219717573.904877
NZE,2045,Aluminium,Electricity Networks,111496670582.24211,116804057005.35245,1110500918718.2358,659865554.5888976,45656264395172.6,1221254.5651296969,1866.2630163636568,19854.10390223174,833419990241.6356,3554778555.6068006,17987240.497782536,10020732.305006472,1219430730.1632962,1415.5111476170957,117835319.98443332,255326374.9567694,930156586.9366999,20938759372.940033
NZE,2050,Aluminium,Electricity Networks,80402321621.19423,83699368445.49026,809023667284.1335,518569678.41574764,34532723867830.047,934035.6632584902,1481.535784202068,15834.448851346015,664358041905.667,2778290291.326372,14436948.413480368,7548234.897657468,979489427.2079263,1116.7787332079479,87712878.05166115,192949827.71071464,718045140.6437794,16261519871.69182
NZE,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2025,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2030,Arsenic,Solar PV,1163069.2011592253,1248556.1466962136,21180499.321601085,11800.583634549814,1038589937.5708314,129.5961292108517,0.4902113375756216,1.4806751798793822,34696202.16488974,97059.98172981614,561.1372402715778,347.2972254078714,242366.23348991378,0.15734304164066767,1177.0178493956864,6631.261134043202,11996.71678499609,1779045.2978611698
