Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2022,Aluminium,Electricity Networks,45316679071.134155,13481828482.020569,610731.6324123286,181694.23153493556,0.004715189327482456,1031073990.7873318,12851436412.370895,5363903855.720247,2193806.5203376957,667.9496956629093,10367.229919013027,19799.381764867085,6261.63825445675,5.045832672623678,78.80311716292377,854426966.3466022,1022987480.2778555,15433621320.346088,1675326227.0629237,6494.231848654143,5503.857802864208,67495432.24482507,1.1653393532373384,140952.08381116914,1761256877.568579,179.70552369410785,8123033273.840445,237095283.40462565,200890806.8624008,30279697.7870027,176214.61854115117,3844.9312674529206,4355784.660752406,974578.7539254798,107458073763.78021
NZE,2025,Aluminium,Electricity Networks,45936549546.66852,13597053788.18876,619085.6096036949,183247.1198557318,0.007420311338676636,1136714692.8860042,14010822348.987463,5184958376.52536,2346935.6933428873,745.1340088583429,11883.082283874171,22288.71435983732,7629.616468971008,6.1825503118764535,99.61629993696475,957487787.9905092,1268591522.6911833,15525657057.227129,1685312230.6581433,7543.017837084559,6430.491171186518,69977950.13847868,1.295787696483372,141809.281612971,1835648140.8475454,187.03363842929028,8721354537.03254,275379971.9277311,234712924.2261681,37227024.84019121,189762.1973791653,4428.853562936325,4230447.3628755,991405.3590378404,110484229862.25473
NZE,2030,Aluminium,Electricity Networks,51167637542.921776,15025028427.547888,689584.8378557003,202491.89486134422,0.017375599774941564,1478891323.7584817,18135923495.477657,5611871304.234954,3105335.6726691667,984.9122128985392,16261.154915638623,29839.72151305819,11186.300788072884,8.802360365648608,144.68343323592276,1400841213.7863948,2067075549.7875078,17014912412.743128,1846960970.8094208,10538.897407528148,9196.588312594984,83552908.50623634,1.5246932232208432,162411.28273306895,2187784507.641119,222.9068346214043,11002990977.290075,384745328.5105644,335675468.1192964,46503404.7548884,234784.5000054423,5863.3363569702,4457127.36566089,1118992.5585067687,127798212827.88588
NZE,2035,Aluminium,Electricity Networks,54934720966.47541,16026061073.715744,740353.7169281875,215982.78436471932,0.02438397778831835,1773646151.545363,21820040708.891617,5871464859.873769,3845085.938001438,1199.2492333487369,20002.569089741148,36660.34473259706,14471.437616478535,10.53093773954379,176.04131610000283,1962374041.8511033,2766021946.732109,18030865951.25374,1957235065.269986,13194.762408051474,11825.746479413656,95426058.35044,1.7223908294375996,180593.31250057142,2487849272.477191,253.5619397440421,12971070880.067238,481697814.5021285,431639739.4638251,51593541.072717674,266671.1274271429,7115.015473439492,4661339.770483727,1216809.758561985,141670507334.1729
NZE,2040,Aluminium,Electricity Networks,55820302522.28962,16178231040.138647,752288.6749592223,218033.57487787807,0.028087438025388874,1961284507.40445,23878148980.498024,5569095223.534763,4310304.361103725,1336.7606243554465,22289.193324920234,41142.54278646013,16902.874999395674,11.261750930175912,192.21568760906897,2476724119.582067,3155751454.308462,18146272626.520386,1969758740.9511652,14957.066175798958,13671.453109334223,101490037.83894068,2.061832718376957,188804.0261207959,2641443876.1790476,269.03263185273056,14096741855.173489,546028520.619869,499008030.21892893,54769067.08257297,278196.39763791487,7841.214868525718,4597296.3695183005,1249102.1761139932,147104266266.47784
NZE,2045,Aluminium,Electricity Networks,46185690747.37715,13295461859.704515,622443.2781318193,179182.57395227227,0.0234950879148069,1765813543.81941,21322044389.443962,4238522443.871946,3819373.1224519713,1212.1780391973105,20249.846764110436,37575.80871607842,16030.27177650614,10.043359924135146,175.01819323940762,2342352167.4962854,2886323325.548292,14870614606.545841,1614186219.086925,13808.900651525411,12858.88153465114,87681407.81047595,1.8967849320487435,161151.41550074937,2282797822.849607,232.34699645526877,12469855889.56244,504108283.6881455,469349168.16126525,48571378.250211194,245443.08210571163,7132.433907567114,3688880.4382299427,1045387.0718811547,124391154708.1473
NZE,2050,Aluminium,Electricity Networks,33354042461.131454,9522946751.964563,449511.50861098105,128340.4916081985,0.017354768178527342,1390636877.5304503,16612143899.10626,2733272021.0257177,2921119.6445001815,953.2854523336362,16084.376159568357,29711.871421275395,13041.14040157915,7.892436146027893,139.5151850364732,1830700335.0422227,2316625545.3498254,10615066700.531113,1152248307.4891868,11091.14110152981,10447.981705501414,66047055.37976551,1.4964834977178652,119956.00686017412,1726785695.0263805,175.5843396116927,9651063200.333637,404890259.16037184,381351325.8238551,41154689.048244804,187430.72984818785,5691.0102088019885,2546176.9740426736,763606.2892477323,91804652235.32768
NZE,2022,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2025,Arsenic,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZE,2030,Arsenic,Solar PV,475017.8915291852,144272.9981775571,6.401803014128288,1.9443632255925587,2.058700002990807e-06,31183.787817708064,522379.79353880265,56209.88634184551,405.30121750311446,0.04265687906281059,5.594773464783537,2.247138274542427,1.7506847684221558,0.0005189760459750011,0.00728620226092938,63955.78620102251,90042.90576002018,170272.73299183682,18482.555743397865,0.30326817649774973,0.594973451197464,3038.8507116296505,0.00021083967757383422,1.60968792375209,59201.47369749814,0.006034447508442459,168497.02911865484,11070.474254522296,21716.530431142593,742.2703826956578,17.541614863186823,1.3956399493006755,258.8376720071552,21.000279208375254,1836767.5558104222
NZE,2035,Arsenic,Solar PV,2047357.0396379493,624654.2441795802,27.592174318713173,8.418448055711748,1.242978808707158e-05,167238.77632338577,2956621.9202201646,278907.0333790259,2374.7953538134398,0.24349211064849627,32.12878275890662,12.90135108894429,10.098216930509473,0.0023669112573666,0.03321436319618773,457548.3940417001,516632.2881839561,730836.7528277864,79329.58517459771,1.7090409923978884,3.490372058546708,16914.332651405137,0.0011866090687402576,7.553233116136151,318599.24164716975,0.03251361407422835,901386.1554322912,62386.57829015406,127398.57695005585,3690.435644749247,94.18142038983335,7.993576426701175,1433.2481495248846,106.99619066804628,9293408.82487491
NZE,2040,Arsenic,Solar PV,10096981.107008394,3085894.969800883,136.07673571701608,41.5885215702412,6.830739075065279e-05,902375.4498227332,16366904.861435045,1488124.2314963234,13392.861090450107,1.3507473077400922,177.0387608245412,71.56440563710349,55.948114589759086,0.010470186367740442,0.147187453923398,3145205.248025297,2725408.302162231,3597645.2898430177,390516.9181561218,9.354135252357338,19.716266567824594,93435.29514532586,0.006941489572252817,41.37587974923293,1727291.2016293623,0.17648822431028174,4901082.834938319,341462.14789957675,719643.711592831,18533.643829278215,498.822328757941,44.00579418617271,7939.954581881106,569.2795838132868,49622366.147960186
NZE,2045,Arsenic,Solar PV,7502452.519504164,2296367.146637799,101.11034554996141,30.948076828345616,5.008281034657995e-05,726386.0733101601,13361675.473230463,1149819.483656178,10998.442110540971,1.09562884998839,143.7687965920897,58.1841954761548,45.461240209345625,0.0070027934181857284,0.09895845407517609,2846165.2856065887,2133122.066782171,2668521.925964957,289666.6193366611,7.54195981547041,16.346099177827476,76208.78690393743,0.005709619334968066,34.10999774459295,1392941.1555733343,0.14251302481814399,3954070.2555179475,275310.8840449869,596632.6048485178,14421.590188998554,396.4919494244786,35.71759801525303,6509.83132061254,450.64306612243865,39301690.69525925
