Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,Mine production,81700,76000,,5000000,
MCS2023,Australia,Mine production,321000,370000,,NA,Considered to be moderate to large
MCS2023,China,Mine production,"310,000",310000,Production in 2021 is also estimated.,2200000,
MCS2023,India,Mine production,12000,15000,,13000000,
MCS2023,South Africa,Mine production,"140,000",150000,Production in 2021 is also estimated.,NA,
MCS2023,Other countries,Mine production,60000,60000,,6500000,
MCS2023,World total (rounded),Mine production,925000,980000,,NA,Considered to be moderate to large
