Source,Country,Type,Prod_kg_est_2021,Prod_kg_est_2022,Prod_notes,Reserves_kg,Reserves_notes
MCS2023,United States,Primary and secondary refinery production,W,W,,NA,
MCS2023,China,Primary and secondary refinery production,NA,NA,,NA,
MCS2023,Russia,Primary and secondary refinery production,NA,NA,,NA,
MCS2023,Other countries,Primary and secondary refinery production,NA,NA,,NA,
MCS2023,World total (rounded),Primary and secondary refinery production,NA,NA,,NA,
