Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,Mine production,294,280,,4600,
MCS2023,Australia,Mine production,485,440,,37000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 12 million tons."
MCS2023,Bolivia,Mine production,93,90,,1600,
MCS2023,China,Mine production,"1,960",2000,,12000,
MCS2023,India,Mine production,215,240,,2500,
MCS2023,Iran,Mine production,50,50,Production in 2021 is also estimated.,2000,
MCS2023,Mexico,Mine production,272,270,,5600,
MCS2023,Peru,Mine production,264,250,,5300,
MCS2023,Russia,Mine production,200,200,Production in 2021 is also estimated.,6000,
MCS2023,Sweden,Mine production,65,65,,1700,
MCS2023,Tajikistan,Mine production,56,55,Production in 2021 is also estimated.,NA,
MCS2023,Turkey,Mine production,75,75,Production in 2021 is also estimated.,860,
MCS2023,Other countries,Mine production,510,510,,5900,
MCS2023,World total (rounded),Mine production,4550,4500,,85000,
