Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, phosphate rock ore",21600,21000,,1000000,
MCS2023,Algeria,"Mine production, phosphate rock ore","1,400",1800,Production in 2021 is also estimated.,2200000,
MCS2023,Australia,"Mine production, phosphate rock ore","2,500",2500,Production in 2021 is also estimated.,1100000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 124 million tons."
MCS2023,Brazil,"Mine production, phosphate rock ore","6,000",5500,Production in 2021 is also estimated.,1600000,
MCS2023,China,"Mine production, phosphate rock ore","90,000",85000,"Production in 2021 is also estimated. Production data for large mines only, as reported by the National Bureau of Statistics of China",1900000,Reserves for China were revised based on Government reports.
MCS2023,Egypt,"Mine production, phosphate rock ore","5,000",5000,Production in 2021 is also estimated.,2800000,
MCS2023,Finland,"Mine production, phosphate rock ore",990,1000,,1000000,
MCS2023,India,"Mine production, phosphate rock ore","1,400",1400,Production in 2021 is also estimated.,46000,
MCS2023,Israel,"Mine production, phosphate rock ore",2430,3000,,60000,Reserves for Israel were revised based on company reports
MCS2023,Jordan,"Mine production, phosphate rock ore",10000,10000,,1000000,
MCS2023,Kazakhstan,"Mine production, phosphate rock ore","1,500",1500,Production in 2021 is also estimated.,260000,
MCS2023,Mexico,"Mine production, phosphate rock ore",488,450,,30000,
MCS2023,Morocco,"Mine production, phosphate rock ore",38100,40000,,50000000,
MCS2023,Peru,"Mine production, phosphate rock ore",4200,4200,,210000,
MCS2023,Russia,"Mine production, phosphate rock ore","14,000",13000,Production in 2021 is also estimated.,600000,
MCS2023,Saudi Arabia,"Mine production, phosphate rock ore","9,200",9000,Production in 2021 is also estimated.,1400000,
MCS2023,Senegal,"Mine production, phosphate rock ore","2,100",2600,Production in 2021 is also estimated.,50000,
MCS2023,South Africa,"Mine production, phosphate rock ore",2130,1600,,1600000,
MCS2023,Togo,"Mine production, phosphate rock ore","1,000",1500,Production in 2021 is also estimated.,30000,
MCS2023,Tunisia,"Mine production, phosphate rock ore",3730,4000,,2500000,Reserves for Tunisia were revised based on Government reports.
MCS2023,Turkey,"Mine production, phosphate rock ore",600,800,Production in 2021 is also estimated.,50000,
MCS2023,Uzbekistan,"Mine production, phosphate rock ore",900,900,Production in 2021 is also estimated.,100000,
MCS2023,Vietnam,"Mine production, phosphate rock ore","4,500",4500,Production in 2021 is also estimated.,30000,
MCS2023,Other countries,"Mine production, phosphate rock ore",1950,1600,,2600000,
MCS2023,World total (rounded),"Mine production, phosphate rock ore",226000,220000,,72000000,
