Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, graphite",0,0,,Included in World total.,
MCS2023,Austria,"Mine production, graphite",500,500,,Included in World total.,
MCS2023,Brazil,"Mine production, graphite",82000,87000,,74000000,
MCS2023,Canada,"Mine production, graphite",12000,15000,,Included in World total.,
MCS2023,China,"Mine production, graphite",820000,850000,,52000000,
MCS2023,Germany,"Mine production, graphite",250,250,,Included in World total.,
MCS2023,India,"Mine production, graphite",7000,8300,,8000000,
MCS2023,"Korea, North","Mine production, graphite",8100,8100,,2000000,
MCS2023,"Korea, Republic of","Mine production, graphite",10500,17000,,1800000,
MCS2023,Madagascar,"Mine production, graphite",70000,110000,,26000000,
MCS2023,Mexico,"Mine production, graphite",2100,1900,,3100000,
MCS2023,Mozambique,"Mine production, graphite",72000,170000,,25000000,
MCS2023,Norway,"Mine production, graphite",6290,10000,,600000,
MCS2023,Russia,"Mine production, graphite",15000,15000,,14000000,
MCS2023,Sri Lanka,"Mine production, graphite",3000,3000,,1500000,
MCS2023,Tanzania,"Mine production, graphite",0,8000,,18000000,
MCS2023,Turkey,"Mine production, graphite",2700,2900,,90000000,
MCS2023,Ukraine,"Mine production, graphite",10000,3000,,Included in World total.,
MCS2023,Uzbekistan,"Mine production, graphite",110,0,,7600000,
MCS2023,Vietnam,"Mine production, graphite",5000,5000,,Included in World total.,
MCS2023,World total (rounded),"Mine production, graphite",1130000,1300000,,330000000,
