Source,Country,Type,Prod_kt_2021,Prod_kt_Est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, fluorspar",NA,NA,,4000,
MCS2023,Canada,"Mine production, fluorspar",140,18,,NA,
MCS2023,China,"Mine production, fluorspar",5700,5700,,49000,
MCS2023,Germany,"Mine production, fluorspar",65,65,,NA,
MCS2023,Iran,"Mine production, fluorspar",50,50,,3400,
MCS2023,Kazakhstan,"Mine production, fluorspar",67,67,,NA,
MCS2023,Mexico,"Mine production, fluorspar",1000,970,,68000,
MCS2023,Mongolia,"Mine production, fluorspar",650,350,,22000,
MCS2023,Morocco,"Mine production, fluorspar",77,77,,NA,
MCS2023,Pakistan,"Mine production, fluorspar",65,65,,NA,
MCS2023,South Africa,"Mine production, fluorspar",403,420,,41000,
MCS2023,Spain,"Mine production, fluorspar",155,160,,10000,
MCS2023,Vietnam,"Mine production, fluorspar",215,220,,5000,
MCS2023,Other countries,"Mine production, fluorspar",93,98,,55000,
MCS2023,World total (rounded),"Mine production, fluorspar",8680,8300,,260000,
