Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production - nickel, metric tons contained",18400,18000,,370000,Includes reserve data for three projects. An additional three domestic projects have defined resources but have not yet defined reserves.
MCS2023,Australia,"Mine production - nickel, metric tons contained",151000,160000,,21000000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 9.5 million tons."
MCS2023,Brazil,"Mine production - nickel, metric tons contained",76000,83000,,16000000,
MCS2023,Canada,"Mine production - nickel, metric tons contained",134000,130000,,2200000,
MCS2023,China,"Mine production - nickel, metric tons contained",109000,110000,,2100000,
MCS2023,Indonesia,"Mine production - nickel, metric tons contained",1040000,1600000,,21000000,
MCS2023,New Caledonia,"Mine production - nickel, metric tons contained",186000,190000,Overseas Territory of France.,7100000,Overseas Territory of France.
MCS2023,Philippines,"Mine production - nickel, metric tons contained",387000,330000,,4800000,
MCS2023,Russia,"Mine production - nickel, metric tons contained",205000,220000,,7500000,
MCS2023,Other countries,"Mine production - nickel, metric tons contained",429000,440000,,20000000,
MCS2023,World total (rounded),"Mine production - nickel, metric tons contained",2730000,3300000,,">100,000,000",
