Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, mercury content",NA,NA,,NA,
MCS2023,China,"Mine production, mercury content",2000,2000,,NA,
MCS2023,Kyrgyzstan,"Mine production, mercury content",20,6,,NA,
MCS2023,Mexico (net exports),"Mine production, mercury content",39,40,,NA,
MCS2023,Morocco,"Mine production, mercury content",2,2,,NA,
MCS2023,Norway,"Mine production, mercury content",20,20,,NA,
MCS2023,Peru (exports),"Mine production, mercury content",30,30,,NA,
MCS2023,Tajikistan,"Mine production, mercury content",120,120,,NA,
MCS2023,World total (rounded),"Mine production, mercury content",2200,2200,,NA,
