Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes
MCS2023,United States,Magnesium smelter production,W,W,
MCS2023,Brazil,Magnesium smelter production,20,20,
MCS2023,China,Magnesium smelter production,930,900,Production data in 2021 were also estimated
MCS2023,Israel,Magnesium smelter production,18,20,
MCS2023,Kazakhstan,Magnesium smelter production,16,15,
MCS2023,Russia,Magnesium smelter production,58,50,Production data in 2021 were also estimated
MCS2023,Turkey,Magnesium smelter production,13,13,
MCS2023,Ukraine,Magnesium smelter production,10,2,
MCS2023,"World total (rounded), excluding United States",Magnesium smelter production,1070,1000,Excludes U.S. production.
