Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, zeolites",85300,86000,Reported production in 2021.,80000000,Reported by two of the leading companies in the United States in 2022; total U.S. reserves likely were substantially larger. 
MCS2023,China,"Mine production, zeolites",52000,52000,,NA,
MCS2023,Cuba,"Mine production, zeolites",100000,100000,,NA,
MCS2023,Georgia,"Mine production, zeolites",130000,130000,,NA,
MCS2023,Hungary,"Mine production, zeolites",27000,27000,,NA,
MCS2023,Indonesia,"Mine production, zeolites",130000,130000,,NA,
MCS2023,Jordan,"Mine production, zeolites",12000,12000,,NA,
MCS2023,"Korea, Republic of","Mine production, zeolites",130000,130000,,NA,
MCS2023,New Zealand,"Mine production, zeolites",100000,100000,,NA,
MCS2023,Russia,"Mine production, zeolites",35000,35000,,NA,
MCS2023,Slovakia,"Mine production, zeolites",150000,150000,,NA,
MCS2023,Turkey,"Mine production, zeolites",46000,50000,,NA,
MCS2023,Other countries,"Mine production, zeolites",5500,6000,,NA,
MCS2023,World total (rounded),"Mine production, zeolites",1000000,1000000,,NA,"World data were unavailable, but reserves were estimated to be large."
