Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, tantalum content",0,0,,0,
MCS2023,Australia,"Mine production, tantalum content",44,57,,99000,"Revised based on Government reports. For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 39,000 tons."
MCS2023,Bolivia,"Mine production, tantalum content",1,1,,NA,
MCS2023,Brazil,"Mine production, tantalum content",360,370,Production in 2021 is also estimated.,40000,
MCS2023,Burundi,"Mine production, tantalum content",39,39,,NA,
MCS2023,China,"Mine production, tantalum content",76,78,Production in 2021 is also estimated.,180000,Revised based on Government reports.
MCS2023,Congo (Kinshasa),"Mine production, tantalum content",790,860,,NA,
MCS2023,Ethiopia,"Mine production, tantalum content",32,24,,NA,
MCS2023,Mozambique,"Mine production, tantalum content",37,34,,NA,
MCS2023,Nigeria,"Mine production, tantalum content",110,110,,NA,
MCS2023,Russia,"Mine production, tantalum content",39,39,Production in 2021 is also estimated.,NA,
MCS2023,Rwanda,"Mine production, tantalum content",269,350,,NA,
MCS2023,Uganda,"Mine production, tantalum content",38,38,,         NA,
MCS2023,World total (rounded),"Mine production, tantalum content","1,840","2,000",,NA,
