Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, recoverable copper content",1230,1300,,44000,
MCS2023,Australia,"Mine production, recoverable copper content",813,830,,97000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 23 million tons."
MCS2023,Canada,"Mine production, recoverable copper content",550,530,,7600,
MCS2023,Chile,"Mine production, recoverable copper content",5620,5200,,190000,
MCS2023,China,"Mine production, recoverable copper content",1910,1900,,27000,
MCS2023,Congo (Kinshasa),"Mine production, recoverable copper content",1740,2200,,31000,
MCS2023,Germany,"Mine production, recoverable copper content",0,0,,0,
MCS2023,Indonesia,"Mine production, recoverable copper content",731,920,,24000,
MCS2023,Japan,"Mine production, recoverable copper content",0,0,,0,
MCS2023,Kazakhstan,"Mine production, recoverable copper content",510,580,,20000,
MCS2023,"Korea, Republic of","Mine production, recoverable copper content",0,0,,0,
MCS2023,Mexico,"Mine production, recoverable copper content",734,740,,53000,
MCS2023,Peru,"Mine production, recoverable copper content",2300,2200,,81000,
MCS2023,Poland,"Mine production, recoverable copper content",391,390,,30000,
MCS2023,Russia,"Mine production, recoverable copper content",940,1000,Production in 2021 is also estimated.,62000,
MCS2023,Zambia,"Mine production, recoverable copper content",842,770,,19000,
MCS2023,Other countries,"Mine production, recoverable copper content",2850,3400,,200000,
MCS2023,World total (rounded),"Mine production, recoverable copper content",21200,22000,,890000,
MCS2023,United States,"Refinery production, copper",971,1000,,XX,Not applicable
MCS2023,Australia,"Refinery production, copper",385,380,,XX,Not applicable
MCS2023,Canada,"Refinery production, copper",287,310,,XX,Not applicable
MCS2023,Chile,"Refinery production, copper",2270,2100,,XX,Not applicable
MCS2023,China,"Refinery production, copper",10500,11000,,XX,Not applicable
MCS2023,Congo (Kinshasa),"Refinery production, copper",1450,1700,,XX,Not applicable
MCS2023,Germany,"Refinery production, copper",615,620,,XX,Not applicable
MCS2023,Indonesia,"Refinery production, copper",290,300,,XX,Not applicable
MCS2023,Japan,"Refinery production, copper",1510,1600,,XX,Not applicable
MCS2023,Kazakhstan,"Refinery production, copper",500,510,,XX,Not applicable
MCS2023,"Korea, Republic of","Refinery production, copper",647,660,,XX,Not applicable
MCS2023,Mexico,"Refinery production, copper",473,470,,XX,Not applicable
MCS2023,Peru,"Refinery production, copper",336,290,,XX,Not applicable
MCS2023,Poland,"Refinery production, copper",578,590,,XX,Not applicable
MCS2023,Russia,"Refinery production, copper",981,1100,,XX,Not applicable
MCS2023,Zambia,"Refinery production, copper",354,350,,XX,Not applicable
MCS2023,Other countries,"Refinery production, copper",3170,3000,,XX,Not applicable
MCS2023,World total (rounded),"Refinery production, copper",25300,26000,,XX,Not applicable
