Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States (kyanite),"Mine production, kyanite",105000,100000,Source in 2021: Virginia Department of Energy.,Large,
MCS2023,France (andalusite),"Mine production, andalusite","65,000",65000,Production in 2021 is also estimated.,NA,
MCS2023,India (kyanite and sillimanite),"Mine production, kyanite and sillimanite","15,000",15000,Production in 2021 is also estimated.,"7,200,000",
MCS2023,Peru (andalusite),"Mine production, andalusite","42,000",42000,Production in 2021 is also estimated.,NA,
MCS2023,South Africa (andalusite),"Mine production, andalusite","170,000",160000,Production in 2021 is also estimated.,NA,
MCS2023,World total (rounded),NA,NA,NA,"In addition to the countries and (or) localities listed, Brazil and China may have produced kyanite and related minerals, but information was not available to make reliable estimates of output.",NA,
