Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Plant production, lime",16800,17000,,NA,
MCS2023,Australia,"Plant production, lime",2000,2000,,NA,
MCS2023,Belgium8,"Plant production, lime",1500,1500,,NA,
MCS2023,Brazil,"Plant production, lime",8400,8400,,NA,
MCS2023,Bulgaria,"Plant production, lime",1520,1500,,NA,
MCS2023,Canada (shipments),"Plant production, lime",1590,1600,,NA,
MCS2023,China,"Plant production, lime",310000,310000,,NA,
MCS2023,France,"Plant production, lime",2600,2600,,NA,
MCS2023,Germany,"Plant production, lime",5600,5600,,NA,
MCS2023,India,"Plant production, lime",16000,16000,,NA,
MCS2023,Iran,"Plant production, lime",3900,3900,,NA,
MCS2023,Italy,"Plant production, lime",3600,3600,,NA,
MCS2023,Japan (quicklime only),"Plant production, lime",6650,7000,,NA,
MCS2023,"Korea, Republic of","Plant production, lime",5200,5200,,NA,
MCS2023,Malaysia,"Plant production, lime",1500,1500,,NA,
MCS2023,Poland (hydrated and quicklime),"Plant production, lime",1700,1700,,NA,
MCS2023,Romania,"Plant production, lime",1430,1400,,NA,
MCS2023,Russia (industrial and construction),"Plant production, lime",11400,11000,,NA,
MCS2023,Slovenia,"Plant production, lime",1120,1200,,NA,
MCS2023,South Africa,"Plant production, lime",1000,1000,,NA,
MCS2023,Spain,"Plant production, lime",1800,1800,,NA,
MCS2023,Turkey,"Plant production, lime",4800,4800,,NA,
MCS2023,Ukraine,"Plant production, lime",2350,2000,,NA,
MCS2023,United Kingdom,"Plant production, lime",1500,1500,,NA,
MCS2023,Other countries,"Plant production, lime",15600,16000,Only countries that produced 1 million tons of lime or more are listed separately.,NA,
MCS2023,World total (rounded),"Plant production, lime",430000,430000,,NA,
