Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,Mine production - mica scrap and flake,40600,42000,,NA,"Categorized as ""Large"""
MCS2023,Canada,Mine production - mica scrap and flake,15000,16000,,NA,"Categorized as ""Large"""
MCS2023,China,Mine production - mica scrap and flake,100000,100000,,NA,"Categorized as ""Large"""
MCS2023,Finland,Mine production - mica scrap and flake,55900,60000,Reported production in 2021,NA,"Categorized as ""Large"""
MCS2023,France,Mine production - mica scrap and flake,19000,19000,,NA,"Categorized as ""Large"""
MCS2023,India,Mine production - mica scrap and flake,16000,16000,,NA,"Categorized as ""Large"""
MCS2023,"Korea, Republic of",Mine production - mica scrap and flake,11000,13000,Reported production in 2021,11000000,
MCS2023,Madagascar,Mine production - mica scrap and flake,70000,65000,,NA,"Categorized as ""Large"""
MCS2023,Turkey,Mine production - mica scrap and flake,1670,1700,Reported production in 2021,620000,
MCS2023,Other countries,Mine production - mica scrap and flake,55000,54000,,NA,"Categorized as ""Large"""
MCS2023,World total (rounded),Mine production - mica scrap and flake,384000,390000,,NA,"Categorized as ""Large"""
MCS2023,United States,Mine production - mica sheet,W,NA,,NA,"Categorized as ""Very Small"""
MCS2023,Canada,Mine production - mica sheet,NA,NA,,NA,
MCS2023,China,Mine production - mica sheet,NA,NA,,NA,
MCS2023,Finland,Mine production - mica sheet,NA,NA,,NA,
MCS2023,France,Mine production - mica sheet,NA,NA,,NA,
MCS2023,India,Mine production - mica sheet,"1,000","1,000",,110000,
MCS2023,"Korea, Republic of",Mine production - mica sheet,0,0,,NA,
MCS2023,Madagascar,Mine production - mica sheet,0,0,,NA,
MCS2023,Turkey,Mine production - mica sheet,0,0,,NA,
MCS2023,Other countries,Mine production - mica sheet,200,200,,NA,"Categorized as ""Moderate"""
MCS2023,World total (rounded),Mine production - mica sheet,NA,NA,,NA,
