Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes
MCS2023,United States,Mine production,42000,42000,Excludes production from Puerto Rico. Estimated in 2021 also.
MCS2023,Australia,Mine production,12200,13000,
MCS2023,Brazil,Mine production,7400,7400,Estimated in 2021 also.
MCS2023,Canada,Mine production,11800,11000,
MCS2023,Chile,Mine production,8570,9000,
MCS2023,China,Mine production,64000,64000,Estimated in 2021 also.
MCS2023,France,Mine production,5400,5500,
MCS2023,Germany,Mine production,15000,15000,Estimated in 2021 also.
MCS2023,India,Mine production,45000,45000,Estimated in 2021 also.
MCS2023,Iran,Mine production,2700,2700,Estimated in 2021 also.
MCS2023,Italy,Mine production,1900,2000,
MCS2023,Mexico,Mine production,9000,9000,Estimated in 2021 also.
MCS2023,Netherlands,Mine production,6120,6200,
MCS2023,Pakistan,Mine production,3000,3300,Estimated in 2021 also.
MCS2023,Poland,Mine production,4000,4000,Estimated in 2021 also.
MCS2023,Russia,Mine production,6500,6000,Estimated in 2021 also.
MCS2023,Saudi Arabia,Mine production,2330,2400,
MCS2023,Spain,Mine production,4200,4200,Estimated in 2021 also.
MCS2023,Turkey,Mine production,6900,6900,Estimated in 2021 also.
MCS2023,Ukraine,Mine production,1800,1000,Estimated in 2021 also.
MCS2023,United Kingdom,Mine production,2400,2800,Estimated in 2021 also.
MCS2023,Other countries,Mine production,31000,32000,Estimated in 2021 also.
MCS2023,World total (rounded),Mine production,294000,290000,
