Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, vanadium content",0,0,,45,
MCS2023,Australia,"Mine production, vanadium content",0,0,,7400,"For Australia, Joint Ore Reserves Committee or equivalent reserves were 1.7 million tons."
MCS2023,Brazil,"Mine production, vanadium content",5780,6200,,120,
MCS2023,China,"Mine production, vanadium content",70300,70000,,9500,
MCS2023,Russia,"Mine production, vanadium content",20100,17000,,5000,
MCS2023,South Africa,"Mine production, vanadium content",8800,9100,,3500,
MCS2023,World total (rounded),"Mine production, vanadium content",105000,100000,,26000,
