Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,Refinery production,0,0,,NA,
MCS2023,Bolivia,Refinery production,60,60,,NA,
MCS2023,Bulgaria,Refinery production,50,50,,NA,
MCS2023,Canada,Refinery production,50,50,,NA,
MCS2023,China,Refinery production,16000,16000,,NA,
MCS2023,Japan,Refinery production,500,480,,NA,
MCS2023,Kazakhstan,Refinery production,230,220,,NA,
MCS2023,"Korea, Republic of",Refinery production,1000,950,,NA,
MCS2023,Laos,Refinery production,2070,2000,Reported production in 2021.,NA,
MCS2023,Mexico,Refinery production,10,10,,NA,
MCS2023,World total (rounded),Refinery production,20000,20000,,NA,
