Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Plant production, arsenic trioxide or calculated equivalent.",0,0,,NA,
MCS2023,Belgium,"Plant production, arsenic trioxide or calculated equivalent.",1000,1000,"Metric tons, gross weight.",NA,
MCS2023,Bolivia,"Plant production, arsenic trioxide or calculated equivalent.",120,140,"Metric tons, gross weight.",NA,
MCS2023,China,"Plant production, arsenic trioxide or calculated equivalent.",24000,24000,"Metric tons, gross weight.",NA,
MCS2023,Japan,"Plant production, arsenic trioxide or calculated equivalent.",40,45,"Metric tons, gross weight.",NA,
MCS2023,Morocco,"Plant production, arsenic trioxide or calculated equivalent.",6880,6900,"Metric tons, gross weight. Production was reported in 2021.",NA,
MCS2023,Peru,"Plant production, arsenic trioxide or calculated equivalent.",27000,28000,"Metric tons, gross weight.",NA,
MCS2023,Russia,"Plant production, arsenic trioxide or calculated equivalent.",1000,1000,"Metric tons, gross weight.",NA,
MCS2023,World total (rounded),"Plant production, arsenic trioxide or calculated equivalent.",60000,61000,"Metric tons, gross weight. Chile and Mexico, not included in world total, were thought to be significant producers of commercial-grade arsenic trioxide but have reported no production in recent years.",NA,
