Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, metric tons of contained cobalt",650,800,Production in 2021 is also estimated,69000,
MCS2023,Australia,"Mine production, metric tons of contained cobalt",5295,5900,,1500000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 670,000 tons. Revised based on Government reports."
MCS2023,Canada,"Mine production, metric tons of contained cobalt",4361,3900,,220000,
MCS2023,China,"Mine production, metric tons of contained cobalt",2200,2200,Production in 2021 is also estimated,140000,
MCS2023,Congo (Kinshasa),"Mine production, metric tons of contained cobalt",119000,130000,Production in 2021 is also estimated,4000000,
MCS2023,Cuba,"Mine production, metric tons of contained cobalt",4000,3800,Production in 2021 is also estimated,500000,
MCS2023,Indonesia,"Mine production, metric tons of contained cobalt",2700,10000,Production in 2021 is also estimated,600000,
MCS2023,Madagascar,"Mine production, metric tons of contained cobalt",2800,3000,Production in 2021 is also estimated,100000,
MCS2023,Morocco,"Mine production, metric tons of contained cobalt",2300,2300,Production in 2021 is also estimated,13000,
MCS2023,Papua New Guinea,"Mine production, metric tons of contained cobalt",2953,3000,,47000,
MCS2023,Philippines,"Mine production, metric tons of contained cobalt",3600,3800,Production in 2021 is also estimated,260000,
MCS2023,Russia,"Mine production, metric tons of contained cobalt",8000,8900,Production in 2021 is also estimated,250000,
MCS2023,Turkey,"Mine production, metric tons of contained cobalt",2400,2700,Production in 2021 is also estimated,36000,
MCS2023,Other countries,"Mine production, metric tons of contained cobalt",4567,5200,,610000,
MCS2023,World total (rounded),"Mine production, metric tons of contained cobalt",165000,190000,,8300000,
