Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Refinery production, alumina - calcined equivalent weights",1180,1200,,XX,Not applicable
MCS2023,Australia,"Refinery production, alumina - calcined equivalent weights",20400,20000,,XX,Not applicable
MCS2023,Brazil,"Refinery production, alumina - calcined equivalent weights","12,000",11000,Production in 2021 is also estimated.,XX,Not applicable
MCS2023,Canada,"Refinery production, alumina - calcined equivalent weights",1360,1300,,XX,Not applicable
MCS2023,China,"Refinery production, alumina - calcined equivalent weights",75200,76000,,XX,Not applicable
MCS2023,Germany,"Refinery production, alumina - calcined equivalent weights",900,750,Production in 2021 is also estimated.,XX,Not applicable
MCS2023,Guinea,"Refinery production, alumina - calcined equivalent weights",414,440,,XX,Not applicable
MCS2023,India,"Refinery production, alumina - calcined equivalent weights",7000,7400,Production in 2021 is also estimated.,XX,Not applicable
MCS2023,Indonesia,"Refinery production, alumina - calcined equivalent weights",1000,1100,Production in 2021 is also estimated.,XX,Not applicable
MCS2023,Ireland,"Refinery production, alumina - calcined equivalent weights",1880,1800,,XX,Not applicable
MCS2023,Jamaica,"Refinery production, alumina - calcined equivalent weights",1160,480,,XX,Not applicable
MCS2023,Kazakhstan,"Refinery production, alumina - calcined equivalent weights",1400,1400,Production in 2021 is also estimated.,XX,Not applicable
MCS2023,Russia,"Refinery production, alumina - calcined equivalent weights",3050,3100,,XX,Not applicable
MCS2023,Saudi Arabia,"Refinery production, alumina - calcined equivalent weights",1920,2000,,XX,Not applicable
MCS2023,Spain,"Refinery production, alumina - calcined equivalent weights",1540,1700,,XX,Not applicable
MCS2023,Ukraine,"Refinery production, alumina - calcined equivalent weights",1770,740,,XX,Not applicable
MCS2023,United Arab Emirates,"Refinery production, alumina - calcined equivalent weights",2300,2300,,XX,Not applicable
MCS2023,Vietnam,"Refinery production, alumina - calcined equivalent weights",1456,1500,,XX,Not applicable
MCS2023,Other countries,"Refinery production, alumina - calcined equivalent weights",2620,2200,,XX,Not applicable
MCS2023,World total (rounded),"Refinery production, alumina - calcined equivalent weights",139000,140000,,XX,Not applicable
MCS2023,United States,"Mine production, bauxite",W,W,,20000,
MCS2023,Australia,"Mine production, bauxite",103000,100000,,5100000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 1.7 billion tons."
MCS2023,Brazil,"Mine production, bauxite","33,000",33000,Production in 2021 is also estimated.,2700000,
MCS2023,Canada,"Mine production, bauxite",0,0,,0,
MCS2023,China,"Mine production, bauxite","90,000",90000,Production in 2021 is also estimated.,710000,
MCS2023,Germany,"Mine production, bauxite",0,0,,0,
MCS2023,Guinea,"Mine production, bauxite","86,000",86000,Production in 2021 is also estimated.,7400000,
MCS2023,India,"Mine production, bauxite","17,400",17000,Production in 2021 is also estimated.,660000,
MCS2023,Indonesia,"Mine production, bauxite","21,000",21000,Production in 2021 is also estimated.,1000000,
MCS2023,Ireland,"Mine production, bauxite",0,0,,0,
MCS2023,Jamaica,"Mine production, bauxite",5950,3900,,2000000,
MCS2023,Kazakhstan,"Mine production, bauxite",4370,4400,,160000,
MCS2023,Russia,"Mine production, bauxite",5680,5000,,500000,
MCS2023,Saudi Arabia,"Mine production, bauxite",4780,4800,,180000,
MCS2023,Spain,"Mine production, bauxite",0,0,,0,
MCS2023,Ukraine,"Mine production, bauxite",0,0,,0,
MCS2023,United Arab Emirates,"Mine production, bauxite",0,0,,0,
MCS2023,Vietnam,"Mine production, bauxite",3830,3800,Production in 2021 is also estimated.,5800000,
MCS2023,Other countries,"Mine production, bauxite",9330,8900,,5100000,
MCS2023,World total (rounded),"Mine production, bauxite",384000,380000,,31000000,
