Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, perlite",496,520,Processed ore sold and used by producers.,50000,
MCS2023,Argentina,"Mine production, perlite",18,20,Tol,NA,Estimated
MCS2023,Armenia,"Mine production, perlite",80,180,Estimated,NA,Estimated
MCS2023,China,"Mine production, perlite",1500,1500,Estimated,78000,Estimated
MCS2023,Greece,"Mine production, perlite",700,710,Estimated,120000,Estimated
MCS2023,Hungary,"Mine production, perlite",77,80,Estimated,49000,Estimated
MCS2023,Iran,"Mine production, perlite",32,30,Estimated,73000,Estimated
MCS2023,Mexico,"Mine production, perlite",24,20,Estimated,NA,Estimated
MCS2023,New Zealand,"Mine production, perlite",18,20,Estimated,NA,Estimated
MCS2023,Slovakia,"Mine production, perlite",37,40,Estimated,NA,Estimated
MCS2023,Turkey,"Mine production, perlite",1100,1100,Estimated,57000,Estimated
MCS2023,Other countries,"Mine production, perlite",70,40,Estimated,NA,Estimated
MCS2023,World total (rounded),"Mine production, perlite",4150,4300,,NA,
