Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Silver - mine production, contained silver - metric tons",1020,1100,,23000,
MCS2023,Argentina,"Silver - mine production, contained silver - metric tons",720,840,Estimated in both years.,6500,
MCS2023,Australia,"Silver - mine production, contained silver - metric tons",1360,1400,,92000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 27,000 tons. Revised based on Government reports."
MCS2023,Bolivia,"Silver - mine production, contained silver - metric tons",1290,1300,,22000,
MCS2023,Chile,"Silver - mine production, contained silver - metric tons",1280,1600,,26000,
MCS2023,China,"Silver - mine production, contained silver - metric tons",3500,3600,,71000,
MCS2023,India,"Silver - mine production, contained silver - metric tons",610,630, Estimated in both years,7200,
MCS2023,Mexico,"Silver - mine production, contained silver - metric tons",6110,6300,,37000,
MCS2023,Peru,"Silver - mine production, contained silver - metric tons",3310,3100,,98000,
MCS2023,Poland,"Silver - mine production, contained silver - metric tons",1300,1300,,65000,
MCS2023,Russia,"Silver - mine production, contained silver - metric tons",1320,1200,,45000,
MCS2023,Other countries,"Silver - mine production, contained silver - metric tons",3200,3500,,57000,
MCS2023,World total (rounded),"Silver - mine production, contained silver - metric tons",25000,26000,,550000,
