Source,Country,Type,Production_2022,Production_2023,Unit,Mineral
MCS 2024,World total (rounded),"Smelter production, aluminum",68400000.0,70000000.0,tons,aluminum
MCS2024,World total (rounded),"Plant production, arsenic trioxide or calculated equivalent.",60100.0,60000.0,tons,arsenic
MCS2024,World total,boron total all types,,,tons,boron
MCS2024,World total (rounded),Refinery production,22600.0,23000.0,tons,cadmium
MCS2024,World total (rounded),"Mne production, grosss weight, marketable chromite ore",41900000.0,41000000.0,tons,chromium
MCS2024,World total (rounded),"Mine production, metric tons of contained cobalt",197000.0,230000.0,tons,cobalt
MCS2024,World total (rounded),"Mine production, recoverable copper content",21900000.0,22000000.0,tons,copper
MCS2024,World total (rounded),"Refinery production, copper",25900000.0,27000000.0,tons,copper
MCS2024,World total (rounded),Primary production,610.0,610.0,tons,gallium
MCS2024,World total (rounded),"Mine production, graphite",1680000.0,1600000.0,tons,graphite
MCS2024,World total (rounded),"Refinery production, indium",999.0,990.0,tons,indium
MCS2024,World total (rounded),"Mine production, lead content",4460000.0,4500000.0,tons,lead
MCS2024,World total (rounded),"Mine production, lithium content",146000.0,180000.0,tons,lithium
MCS2024,World total (rounded),"Mine production, manganese content",19800000.0,20000000.0,tons,manganese
MCS2024,World total (rounded),"Mine production, contained molybdenum",253000.0,260000.0,tons,molybdenum
MCS2024,World total (rounded),"Mine production - nickel, metric tons contained",3270000.0,3600000.0,tons,nickel
MCS2024,World total (rounded), World mine production: Palladium,203.0,210.0,tons,platinum
MCS2024,World total (rounded), World mine production: Platinum,174.0,180.0,tons,platinum
MCS2024,World total (rounded),"Refinery production, contained selenium",3310.0,3600.0,tons,selenium
MCS2024,World total (rounded),"mine production, silver content",25600.0,26000.0,tons,silver
MCS2024,World total (rounded),"Plant production, silicon content of ferrosilicon",5440000.0,5200000.0,tons,silicon
MCS2024,World total (rounded),"Plant production, silicon metal",3670000.0,3800000.0,tons,silicon
MCS2024,World total (rounded),"Refinery production, tellurium content",584.0,640.0,tons,tellurium
MCS2024,"World total (ilmenite, rounded)","World total mine production: Ilmenite, titanium dioxide (TiO2) content.",8800000.0,8600000.0,tons,tin
MCS2024,"World total (rutile, rounded)","World total mine production: rutile (rounded), titanium dioxide (TiO2) content.",640000.0,560000.0,tons,tin
MCS2024,"World total (ilmenite and rutile, rounded)","World total mine production: ilmentite and rutile (rounded), titanium dioxide (TiO2) content.",9400000.0,9200000.0,tons,tin
MCS2024,World total (rounded),"Mine production, tin content",307000.0,290000.0,tons,tin
MCS2024,World total (rounded),"Mine production, vanadium content",102000.0,100000.0,tons,vanadium
MCS2024,World total (rounded),"Mine production, zinc content of concentrates and direct shipping ores",12500000.0,12000000.0,tons,zinc
MCS2024,World total (rounded),"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",1440000.0,1600000.0,tons,zirconium
